compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD000888	(N(1) + N(8))-acetylspermidine	NA	.
CPD000097	1,2,3-benzenetriol sulfate (2)	NA	.
CPD000428	1,5-anhydroglucitol (1,5-AG)	C07326	64960
CPD000227	1-hydroxy-2-naphthalenecarboxylate	C03203	6844
CPD000579	1-linolenoylglycerol (18:3)	NA	53480978
CPD000580	1-linoleoylglycerol (18:2)	NA	5283469
CPD000453	1-methyl-4-imidazoleacetate	C05828	75810
CPD000454	1-methylhistidine	C01152	92105
CPD000592	1-methylnicotinamide	C02918	10129985
CPD001603	1-methylxanthine	C16358	80220
CPD000581	1-oleoylglycerol (18:1)	NA	5283468
CPD000582	1-palmitoleoylglycerol (16:1)*	NA	.
CPD000583	1-palmitoylglycerol (16:0)	NA	14900
CPD000455	1-ribosyl-imidazoleacetate*	C05131	5117448
CPD000305	12,13-DiHOME	C14829	10236635
CPD000235	12-HETE	NA	5312983
CPD000307	13-HODE + 9-HODE	NA	43013
CPD000308	16-hydroxypalmitate	C18218	10466
CPD000014	16a-hydroxy DHEA 3-sulfate	NA	.
CPD000032	1H-indole-7-acetic acid	NA	.
CPD000938	2'-O-methylcytidine	NA	150971
CPD000947	2'-O-methyluridine	NA	102212
CPD000946	2'-deoxyuridine	C00526	13712
CPD000480	2,3-dihydroxy-2-methylbutyrate	NA	301941
CPD000331	2,3-dihydroxyisovalerate	C04039	677
CPD000406	2-aminobutyrate	C02261	439691
CPD000281	2-aminoheptanoate	NA	227939
CPD000282	2-aminooctanoate	NA	69522
CPD000098	2-aminophenol sulfate	NA	181670
CPD000034	2-ethylphenylsulfate	NA	.
CPD000481	2-hydroxy-3-methylvalerate	NA	164623
CPD000309	2-hydroxyarachidate*	NA	5225199
CPD000310	2-hydroxybehenate	NA	193484
CPD000407	2-hydroxybutyrate/2-hydroxyisobutyrate	NA	.
CPD000311	2-hydroxydecanoate	NA	21488
CPD000284	2-hydroxyglutarate	C02630	43
CPD000312	2-hydroxyheptanoate*	NA	2750949
CPD000035	2-hydroxyhippurate (salicylurate)	C07588	10253
CPD000203	2-hydroxyibuprofen	NA	10443535
CPD000313	2-hydroxylaurate	NA	97783
CPD000314	2-hydroxynervonate*	NA	5312783
CPD000315	2-hydroxyoctanoate	NA	94180
CPD000316	2-hydroxypalmitate	NA	92836
CPD000317	2-hydroxyphytanate*	NA	189026
CPD000318	2-hydroxystearate	C03045	69417
CPD000332	2-isopropylmalate	C02504	77
CPD000584	2-linoleoylglycerol (18:2)	NA	5365676
CPD000204	2-methoxyacetaminophen glucuronide*	NA	14367271
CPD000205	2-methoxyacetaminophen sulfate*	NA	86290014
CPD000099	2-methoxyresorcinol sulfate	NA	.
CPD000482	2-methylbutyrylcarnitine (C5)	NA	6426901
CPD001523	2-methylcitrate	C02225	439681
CPD000416	2-methylserine	C02115	94309
CPD000585	2-oleoylglycerol (18:1)	NA	5319879
CPD000333	2-oxindole-3-acetate	NA	3080590
CPD001579	2-oxoarginine*	C03771	558
CPD000334	2-piperidinone	NA	12665
CPD000221	2-propyl-2-pentenoate (2-ene-valproate)	C16653	6437068
CPD000222	2-propyl-4-pentenoate (4-ene-valproate)	NA	104896
CPD000905	21-hydroxypregnenolone disulfate	NA	134595
CPD000335	3,4-methyleneheptanoate	NA	.
CPD000247	3,4-methyleneheptanoylcarnitine	NA	.
CPD000036	3-(3-hydroxyphenyl)propionate	C11457	91
CPD001561	3-(4-hydroxyphenyl)lactate	C03672	9378
CPD000207	3-(N-acetyl-L-cystein-S-yl) acetaminophen	NA	83967
CPD000206	3-(cystein-S-yl)acetaminophen*	NA	5233914
CPD000944	3-aminoisobutyrate	C05145	64956
CPD000285	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-Cmpfp)**	NA	194501
CPD000286	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	NA	123979
CPD000483	3-hydroxy-2-ethylpropionate	NA	188979
CPD000577	3-hydroxy-3-methylglutarate	C03761	1662
CPD000466	3-hydroxybutyrate (BHBA)	C01089	441
CPD000248	3-hydroxybutyrylcarnitine (1)	NA	53481617
