compound_id	chemical_name	analysismode	mz	rt
C000001	2,6-Dimethylheptanoyl Carnitine_R1	RP_POS	302.2322	10.75
C000002	2,6-Dimethylheptanoyl Carnitine_R2	RP_POS	302.2322	10.6
C000003	2-AMINO-2-METHYLPROPANOATE	RP_POS	104.0707	1.04
C000004	2-Hydroxyphenylalanine	RP_POS	182.0812	3.22
C000005	3-(Hydroxyphenyl) Propionic Acid	RP_POS	167.0702	6.04
C000006	3-HYDROXYANTHRANILIC ACID	RP_POS	154.0498	5.23
C000007	3-HYDROXYKYNURENINE	RP_POS	225.0868	3.08
C000008	3-UREIDOPROPIONATE	RP_POS	133.0607	1.18
C000009	4-AMINOBUTANOATE (GABA)	RP_POS	104.0707	0.79
C000010	4-GUANIDINOBUTANOATE	RP_POS	146.0924	1.54
C000011	4-IMIDAZOLEACETIC ACID	RP_POS	127.05	0.93
C000012	5,6-DIHYDROURACIL	RP_POS	115.0503	1.27
C000013	5-AMINOLEVULINIC ACID_R1	RP_POS	132.0655	0.74
C000014	5-AMINOLEVULINIC ACID_R2	RP_POS	132.0656	0.94
C000015	5-HYDROXY-L-TRYPTOPHAN_R1	RP_POS	221.0918	6.72
C000016	5-HYDROXY-L-TRYPTOPHAN_R2	RP_POS	221.0919	6.85
C000017	5-Hydroxymethyl-2-furaldehyde	RP_POS	127.039	0.74
C000018	5-Hydroxy-N-formylkynurenine	RP_POS	253.0816	11.12
C000019	5-METHYLCYTOSINE HYDROCLORIDE	RP_POS	126.0665	1.08
C000020	6C-SUGAR ALCOHOL	RP_POS	205.0679	0.71
C000021	6-DEOXY-HEXOSE_R1	RP_POS	187.0579	1.06
C000022	6-DEOXY-HEXOSE_R2	RP_POS	187.0576	0.81
C000023	6-Quinolincarboxylic Acid	RP_POS	174.055	7.88
C000024	Acetaminophen/Paracetamol	RP_POS	152.0705	6.85
C000025	Acyl-Carnitine(2:0)	RP_POS	204.123	3.83
C000026	Acyl-Carnitine(4-OH)_R1	RP_POS	248.149	5.4
C000027	Acyl-Carnitine(4-OH)_R2	RP_POS	248.149	5.29
C000028	Acyl-Carnitine(5-OH)	RP_POS	262.1647	6.62
C000029	ADENINE	RP_POS	136.0617	1.42
C000030	ALDO/KETO-HEXOSE	RP_POS	203.0524	0.72
C000031	ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE	RP_POS	162.076	0.86
C000032	Anthranilate	RP_POS	120.0445	8.59
C000033	ANTHRANILATE/4-AMINOBENZOATE_R1	RP_POS	138.055	8.05
C000034	ANTHRANILATE/4-AMINOBENZOATE_R2	RP_POS	138.055	7.82
C000035	BOC-D-Phenylalanine	RP_POS	166.0862	11.4
C000036	BOC-L-Tyrosine_R1	RP_POS	304.1152	9.99
C000037	BOC-L-Tyrosine_R2	RP_POS	182.0812	9.99
C000038	BUTYROBETAINE	RP_POS	146.1175	1.19
C000039	C5-SUGAR ALCOHOL	RP_POS	175.058	0.72
C000040	Caffeine-D3	RP_POS	198.1062	7.88
C000041	Chenodeoxycholic Acid (CDCA)_R1	RP_POS	375.2891	12.36
C000042	Chenodeoxycholic Acid (CDCA)_R2	RP_POS	357.2784	12.37
C000043	Chenodeoxycholyglycine (GCDCA)	RP_POS	450.3211	11.41
C000044	Cholic Acid_R1	RP_POS	426.3209	11.16
C000045	Cholic Acid_R2	RP_POS	373.2735	11.4
C000046	Cholic Acid_R3	RP_POS	373.2734	11.17
C000047	CITRULLINE	RP_POS	176.1029	0.77
C000048	CREATINE_R1	RP_POS	132.0769	1.11
C000049	CREATINE_R2	RP_POS	132.0767	0.88
C000050	Creatine-D3	RP_POS	135.0955	0.88
C000051	CREATININE	RP_POS	114.0663	0.9
C000052	Decanoylcarnitine	RP_POS	316.2479	11.61
C000053	Diphenylamine	RP_POS	170.0965	13.65
C000054	Dodecanoylcarnitine_R1	RP_POS	344.279	12.55
C000055	Dodecanoylcarnitine_R2	RP_POS	344.2789	12.81
C000056	Formyl-5-hydroxykynurenamine	RP_POS	209.0919	11.12
C000057	Formylkynurenine	RP_POS	237.0868	10.66
C000058	GLUCOSAMINE/MANNOSAMINE	RP_POS	180.0864	0.73
C000059	GLYCEROL	RP_POS	115.0372	0.78
C000060	GLYCOCHOLATE	RP_POS	466.3161	9.89
C000061	Glycocholic Acid (GCA)_R1	RP_POS	430.295	10.47
C000062	Glycocholic Acid (GCA)_R2	RP_POS	466.3162	10.46
C000063	Glycodeoxycholic acid (GDCA)_R1	RP_POS	414.2998	11.31
C000064	Glycodeoxycholic acid (GDCA)_R2	RP_POS	432.3106	11.31
C000065	Glycoursodeoxycholic acid (G-UDCA)_R1	RP_POS	450.3211	10.62
C000066	Glycoursodeoxycholic acid (G-UDCA)_R2	RP_POS	414.2998	10.6
C000067	Glycoursodeoxycholic acid (G-UDCA)_R3	RP_POS	432.3106	10.62
C000068	Glycyl-L-leucine	RP_POS	189.1233	6.75
C000069	HIPPURATE	RP_POS	180.0647	7.49
C000070	Hippuric Acid	RP_POS	180.0653	7.9
C000071	HOMOCYSTEINE	RP_POS	136.0426	0.88
C000072	Hydroxyhippuric acid	RP_POS	196.0393	7.91
C000073	HYPOXANTHINE	RP_POS	137.0459	1.96
C000074	Isobutyrylcarnitine	RP_POS	232.1542	7.36
C000075	Isovalerylcarnitine_R1	RP_POS	246.1698	7.97
C000076	Isovalerylcarnitine_R2	RP_POS	246.1698	8.09
C000077	Kynurenic Acid	RP_POS	190.0498	7.68
C000078	L-ARGININE	RP_POS	175.1189	0.71
C000079	L-CARNITINE	RP_POS	162.1124	0.91
C000080	L-GLUTAMINE	RP_POS	147.0763	0.72
