chemical_name	analysismode	mz	rt	compound_id
465.3086_8.72	RP_POS	465.3086	8.72	C000001
449.3135_9.31	RP_POS	449.3135	9.31	C000002
256.0941_4.90	RP_POS	256.0941	4.9	C000003
634.3768_6.45	RP_POS	634.3768	6.45	C000004
590.3508_6.23	RP_POS	590.3508	6.23	C000005
256.0944_6.97	RP_POS	256.0944	6.97	C000006
240.0996_6.97	RP_POS	240.0996	6.97	C000007
392.2923_9.59	RP_POS	392.2923	9.59	C000008
344.2350_9.54	RP_POS	344.235	9.54	C000009
314.2453_8.91	RP_POS	314.2453	8.91	C000010
180.0646_2.97	RP_POS	180.0646	2.97	C000011
345.0017_0.53	RP_POS	345.0017	0.53	C000012
756.3914_3.05	RP_POS	756.3914	3.05	C000013
188.1047_5.17	RP_POS	188.1047	5.17	C000014
210.0890_5.66	RP_POS	210.089	5.66	C000015
203.0582_4.57	RP_POS	203.0582	4.57	C000016
136.0384_0.61	RP_POS	136.0384	0.61	C000017
204.0896_0.74	RP_POS	204.0896	0.74	C000018
292.0902_0.53	RP_POS	292.0902	0.53	C000019
249.0787_7.11	RP_POS	249.0787	7.11	C000020
766.4552_7.02	RP_POS	766.4552	7.02	C000021
414.2029_7.93	RP_POS	414.2029	7.93	C000022
268.1309_8.10	RP_POS	268.1309	8.1	C000023
285.1362_8.33	RP_POS	285.1362	8.33	C000024
375.2517_7.92	RP_POS	375.2517	7.92	C000025
467.3009_9.18	RP_POS	467.3009	9.18	C000026
298.2505_9.79	RP_POS	298.2505	9.79	C000027
374.3025_9.79	RP_POS	374.3025	9.79	C000028
482.2884_9.44	RP_POS	482.2884	9.44	C000029
515.2916_10.22	RP_POS	515.2916	10.22	C000030
330.2766_10.35	RP_POS	330.2766	10.35	C000031
316.2611_9.27	RP_POS	316.2611	9.27	C000032
332.1368_10.64	RP_POS	332.1368	10.64	C000033
358.3079_10.83	RP_POS	358.3079	10.83	C000034
282.2556_10.68	RP_POS	282.2556	10.68	C000035
388.3339_11.61	RP_POS	388.3339	11.61	C000036
540.4385_11.26	RP_POS	540.4385	11.26	C000037
408.2875_8.97	RP_POS	408.2875	8.97	C000038
316.2612_9.06	RP_POS	316.2612	9.06	C000039
262.0814_6.97	RP_POS	262.0814	6.97	C000040
678.4031_6.66	RP_POS	678.4031	6.66	C000041
722.4282_6.84	RP_POS	722.4282	6.84	C000042
202.1206_6.51	RP_POS	202.1206	6.51	C000043
246.1366_1.89	RP_POS	246.1366	1.89	C000044
264.1108_2.70	RP_POS	264.1108	2.7	C000045
296.1474_3.53	RP_POS	296.1474	3.53	C000046
187.1210_4.17	RP_POS	187.121	4.17	C000047
427.1969_4.38	RP_POS	427.1969	4.38	C000048
810.4800_7.18	RP_POS	810.48	7.18	C000049
384.1993_4.63	RP_POS	384.1993	4.63	C000050
752.4224_7.15	RP_POS	752.4224	7.15	C000051
312.0522_4.90	RP_POS	312.0522	4.9	C000052
339.0515_6.97	RP_POS	339.0515	6.97	C000053
414.2461_5.04	RP_POS	414.2461	5.04	C000054
270.1100_6.97	RP_POS	270.11	6.97	C000055
316.0857_6.97	RP_POS	316.0857	6.97	C000056
346.0938_6.97	RP_POS	346.0938	6.97	C000057
362.2089_6.85	RP_POS	362.2089	6.85	C000058
758.2455_6.97	RP_POS	758.2455	6.97	C000059
664.3690_6.80	RP_POS	664.369	6.8	C000060
620.3437_6.60	RP_POS	620.3437	6.6	C000061
344.2921_10.59	RP_POS	344.2921	10.59	C000062
414.2040_10.59	RP_POS	414.204	10.59	C000063
509.2723_6.38	RP_POS	509.2723	6.38	C000064
481.3164_12.18	RP_POS	481.3164	12.18	C000065
298.2504_12.47	RP_POS	298.2504	12.47	C000066
298.2504_12.09	RP_POS	298.2504	12.09	C000067
496.2305_6.26	RP_POS	496.2305	6.26	C000068
300.1107_6.18	RP_POS	300.1107	6.18	C000069
467.2285_6.09	RP_POS	467.2285	6.09	C000070
546.3247_5.98	RP_POS	546.3247	5.98	C000071
236.1043_5.96	RP_POS	236.1043	5.96	C000072
236.1260_5.39	RP_POS	236.126	5.39	C000073
354.0624_4.90	RP_POS	354.0624	4.9	C000074
175.0634_4.57	RP_POS	175.0634	4.57	C000075
903.4595_4.51	RP_POS	903.4595	4.51	C000076
189.0790_4.57	RP_POS	189.079	4.57	C000077
259.0517_4.57	RP_POS	259.0517	4.57	C000078
1210.6452_4.57	RP_POS	1210.6452	4.57	C000079
334.2141_7.37	RP_POS	334.2141	7.37	C000080
630.3825_7.39	RP_POS	630.3825	7.39	C000081
243.1835_7.52	RP_POS	243.1835	7.52	C000082
674.4084_7.56	RP_POS	674.4084	7.56	C000083
630.3815_7.63	RP_POS	630.3815	7.63	C000084
290.1102_7.72	RP_POS	290.1102	7.72	C000085
204.1514_7.85	RP_POS	204.1514	7.85	C000086
254.1152_7.81	RP_POS	254.1152	7.81	C000087
1352.7733_7.97	RP_POS	1352.7733	7.97	C000088
436.2571_8.39	RP_POS	436.2571	8.39	C000089
234.1618_8.44	RP_POS	234.1618	8.44	C000090
449.3135_8.55	RP_POS	449.3135	8.55	C000091
598.2423_8.64	RP_POS	598.2423	8.64	C000092
282.1464_8.78	RP_POS	282.1464	8.78	C000093
494.2880_9.07	RP_POS	494.288	9.07	C000094
208.1826_9.10	RP_POS	208.1826	9.1	C000095
398.2430_9.38	RP_POS	398.243	9.38	C000096
614.3661_9.38	RP_POS	614.3661	9.38	C000097
373.2518_9.37	RP_POS	373.2518	9.37	C000098
320.2349_9.51	RP_POS	320.2349	9.51	C000099
477.2854_9.54	RP_POS	477.2854	9.54	C000100
617.2995_9.66	RP_POS	617.2995	9.66	C000101
392.1563_9.32	RP_POS	392.1563	9.32	C000102
302.2453_9.78	RP_POS	302.2453	9.78	C000103
372.2863_9.80	RP_POS	372.2863	9.8	C000104
453.2853_9.77	RP_POS	453.2853	9.77	C000105
332.2348_9.23	RP_POS	332.2348	9.23	C000106
567.3382_9.23	RP_POS	567.3382	9.23	C000107
344.2195_9.04	RP_POS	344.2195	9.04	C000108
510.2825_8.85	RP_POS	510.2825	8.85	C000109
254.2244_10.19	RP_POS	254.2244	10.19	C000110
920.6291_10.20	RP_POS	920.6291	10.2	C000111
354.2759_10.15	RP_POS	354.2759	10.15	C000112
481.3166_10.31	RP_POS	481.3166	10.31	C000113
668.3964_7.77	RP_POS	668.3964	7.77	C000114
854.5072_7.33	RP_POS	854.5072	7.33	C000115
523.3639_10.46	RP_POS	523.3639	10.46	C000116
702.2873_10.65	RP_POS	702.2873	10.65	C000117
374.1467_10.66	RP_POS	374.1467	10.66	C000118
448.1866_10.65	RP_POS	448.1866	10.65	C000119
342.2552_10.88	RP_POS	342.2552	10.88	C000120
650.2934_10.64	RP_POS	650.2934	10.64	C000121
499.2967_10.93	RP_POS	499.2967	10.93	C000122
688.2716_10.65	RP_POS	688.2716	10.65	C000123
538.4233_11.10	RP_POS	538.4233	11.1	C000124
