compound_id	chemical_name	analysismode	rt	mz
C000001	5.65_200.0553	RP_POS	5.65	200.0553
C000002	10.56_283.2419	RP_POS	10.56	283.2419
C000003	9.19_273.1182	RP_POS	9.19	273.1182
C000004	12.21_287.2004	RP_POS	12.21	287.2004
C000005	11.20_368.0853	RP_POS	11.2	368.0853
C000006	9.44_388.1390	RP_POS	9.44	388.139
C000007	3.75_275.1225	RP_POS	3.75	275.1225
C000008	11.28_272.0916	RP_POS	11.28	272.0916
C000009	4.72_431.0676	RP_POS	4.72	431.0676
C000010	2.00_341.1190	RP_POS	2	341.119
C000011	9.62_226.1072	RP_POS	9.62	226.1072
C000012	11.13_427.1941	RP_POS	11.13	427.1941
C000013	4.60_211.1440	RP_POS	4.6	211.144
C000014	11.20_437.0843	RP_POS	11.2	437.0843
C000015	10.81_404.3006	RP_POS	10.81	404.3006
C000016	13.09_388.2150	RP_POS	13.09	388.215
C000017	12.17_325.2120	RP_POS	12.17	325.212
C000018	13.67_191.0548	RP_POS	13.67	191.0548
C000019	8.93_461.0784	RP_POS	8.93	461.0784
C000020	9.46_353.1072	RP_POS	9.46	353.1072
C000021	7.89_287.0921	RP_POS	7.89	287.0921
C000022	7.62_472.2231	RP_POS	7.62	472.2231
C000023	13.31_344.1887	RP_POS	13.31	344.1887
C000024	3.77_294.1446	RP_POS	3.77	294.1446
C000025	6.29_423.2236	RP_POS	6.29	423.2236
C000026	9.21_329.1269	RP_POS	9.21	329.1269
C000027	9.48_327.0894	RP_POS	9.48	327.0894
C000028	12.63_185.1325	RP_POS	12.63	185.1325
C000029	8.78_352.2092	RP_POS	8.78	352.2092
C000030	12.68_415.1525	RP_POS	12.68	415.1525
C000031	10.61_179.1792	RP_POS	10.61	179.1792
C000032	6.41_465.0610	RP_POS	6.41	465.061
C000033	4.00_292.0294	RP_POS	4	292.0294
C000034	5.97_121.0107	RP_POS	5.97	121.0107
C000035	12.26_469.3274	RP_POS	12.26	469.3274
C000036	13.17_535.2497	RP_POS	13.17	535.2497
C000037	1.62_443.1118	RP_POS	1.62	443.1118
C000038	2.71_338.0869	RP_POS	2.71	338.0869
C000039	10.69_352.2390	RP_POS	10.69	352.239
C000040	4.80_457.2656	RP_POS	4.8	457.2656
C000041	11.52_315.1337	RP_POS	11.52	315.1337
C000042	2.82_323.0736	RP_POS	2.82	323.0736
C000043	12.53_501.2010	RP_POS	12.53	501.201
C000044	2.32_273.1443	RP_POS	2.32	273.1443
C000045	8.80_295.1881	RP_POS	8.8	295.1881
C000046	10.28_273.2210	RP_POS	10.28	273.221
C000047	7.99_115.1118	RP_POS	7.99	115.1118
C000048	4.68_401.0015	RP_POS	4.68	401.0015
C000049	5.22_282.0397	RP_POS	5.22	282.0397
C000050	11.33_511.2520	RP_POS	11.33	511.252
C000051	10.03_383.1675	RP_POS	10.03	383.1675
C000052	12.26_331.2377	RP_POS	12.26	331.2377
C000053	10.81_434.1444	RP_POS	10.81	434.1444
C000054	9.40_345.2058	RP_POS	9.4	345.2058
C000055	8.39_394.1969	RP_POS	8.39	394.1969
C000056	7.64_451.0711	RP_POS	7.64	451.0711
C000057	5.87_268.1259	RP_POS	5.87	268.1259
C000058	2.60_263.0437	RP_POS	2.6	263.0437
C000059	12.70_466.3164	RP_POS	12.7	466.3164
C000060	8.64_232.0605	RP_POS	8.64	232.0605
C000061	10.76_369.2747	RP_POS	10.76	369.2747
C000062	13.46_447.3104	RP_POS	13.46	447.3104
C000063	9.48_292.2118	RP_POS	9.48	292.2118
C000064	5.13_345.0115	RP_POS	5.13	345.0115
C000065	6.11_266.0991	RP_POS	6.11	266.0991
C000066	13.60_346.2045	RP_POS	13.6	346.2045
C000067	11.16_400.2693	RP_POS	11.16	400.2693
C000068	6.45_243.1015	RP_POS	6.45	243.1015
C000069	2.88_202.5175	RP_POS	2.88	202.5175
C000070	6.54_263.1488	RP_POS	6.54	263.1488
C000071	11.43_482.1518	RP_POS	11.43	482.1518
C000072	11.72_330.0291	RP_POS	11.72	330.0291
C000073	13.12_303.2317	RP_POS	13.12	303.2317
C000074	3.49_168.1383	RP_POS	3.49	168.1383
C000075	3.22_296.1603	RP_POS	3.22	296.1603
C000076	4.27_321.1807	RP_POS	4.27	321.1807
C000077	3.53_205.1077	RP_POS	3.53	205.1077
C000078	3.67_165.1386	RP_POS	3.67	165.1386
C000079	3.77_272.1659	RP_POS	3.77	272.1659
C000080	4.48_297.1118	RP_POS	4.48	297.1118
C000081	7.46_260.0949	RP_POS	7.46	260.0949
C000082	5.63_316.2117	RP_POS	5.63	316.2117
C000083	11.77_335.2572	RP_POS	11.77	335.2572
C000084	12.07_504.2634	RP_POS	12.07	504.2634
C000085	7.96_368.2066	RP_POS	7.96	368.2066
C000086	11.20_269.1178	RP_POS	11.2	269.1178
C000087	10.12_285.0643	RP_POS	10.12	285.0643
C000088	14.68_255.2106	RP_POS	14.68	255.2106
C000089	10.10_285.1007	RP_POS	10.1	285.1007
C000090	2.62_397.1241	RP_POS	2.62	397.1241
C000091	1.13_328.1025	RP_POS	1.13	328.1025
C000092	12.02_539.2826	RP_POS	12.02	539.2826
C000093	10.81_289.1045	RP_POS	10.81	289.1045
C000094	8.09_229.1070	RP_POS	8.09	229.107
C000095	5.99_425.2282	RP_POS	5.99	425.2282
C000096	6.43_441.1368	RP_POS	6.43	441.1368
C000097	3.96_269.1107	RP_POS	3.96	269.1107
C000098	6.49_356.1856	RP_POS	6.49	356.1856
C000099	11.62_291.0862	RP_POS	11.62	291.0862
C000100	6.64_403.2438	RP_POS	6.64	403.2438
C000101	9.13_398.2536	RP_POS	9.13	398.2536
C000102	8.87_183.6356	RP_POS	8.87	183.6356
C000103	10.96_541.2755	RP_POS	10.96	541.2755
C000104	1.51_314.1232	RP_POS	1.51	314.1232
C000105	7.52_297.0810	RP_POS	7.52	297.081
C000106	5.28_418.0931	RP_POS	5.28	418.0931
C000107	9.42_413.1460	RP_POS	9.42	413.146
C000108	5.99_353.0180	RP_POS	5.99	353.018
C000109	10.81_565.2522	RP_POS	10.81	565.2522
C000110	11.90_346.1773	RP_POS	11.9	346.1773
C000111	5.65_491.0795	RP_POS	5.65	491.0795
C000112	13.12_268.6481	RP_POS	13.12	268.6481
C000113	3.47_342.1181	RP_POS	3.47	342.1181
C000114	4.78_332.0459	RP_POS	4.78	332.0459
C000115	12.31_342.1731	RP_POS	12.31	342.1731
C000116	11.03_167.0855	RP_POS	11.03	167.0855
C000117	11.77_533.2721	RP_POS	11.77	533.2721
C000118	4.46_357.0814	RP_POS	4.46	357.0814
C000119	8.32_271.0597	RP_POS	8.32	271.0597
C000120	6.94_173.0961	RP_POS	6.94	173.0961
C000121	10.66_391.1274	RP_POS	10.66	391.1274
C000122	2.95_278.0137	RP_POS	2.95	278.0137
C000123	6.51_237.1233	RP_POS	6.51	237.1233
C000124	3.26_255.0975	RP_POS	3.26	255.0975
C000125	9.53_295.1877	RP_POS	9.53	295.1877
C000126	13.24_333.1087	RP_POS	13.24	333.1087
C000127	9.55_422.1842	RP_POS	9.55	422.1842
C000128	5.00_145.0648	RP_POS	5	145.0648
C000129	7.55_315.1913	RP_POS	7.55	315.1913
C000130	12.70_333.6614	RP_POS	12.7	333.6614
C000131	6.15_240.5535	RP_POS	6.15	240.5535
C000132	10.61_409.2695	RP_POS	10.61	409.2695
C000133	8.39_289.0115	RP_POS	8.39	289.0115
C000134	1.43_251.0696	RP_POS	1.43	251.0696
C000135	10.47_259.1906	RP_POS	10.47	259.1906
C000136	10.66_447.0953	RP_POS	10.66	447.0953
C000137	3.20_229.9932	RP_POS	3.2	229.9932
C000138	3.01_334.1606	RP_POS	3.01	334.1606
C000139	4.08_432.1653	RP_POS	4.08	432.1653
C000140	1.85_167.5227	RP_POS	1.85	167.5227
C000141	5.11_273.0902	RP_POS	5.11	273.0902
C000142	3.08_492.1864	RP_POS	3.08	492.1864
C000143	3.77_331.1979	RP_POS	3.77	331.1979
C000144	8.64_401.1802	RP_POS	8.64	401.1802
C000145	1.78_330.9970	RP_POS	1.78	330.997
C000146	6.96_303.0208	RP_POS	6.96	303.0208
C000147	8.57_390.1503	RP_POS	8.57	390.1503
C000148	11.28_284.2219	RP_POS	11.28	284.2219
C000149	11.82_327.1926	RP_POS	11.82	327.1926
C000150	4.06_359.0910	RP_POS	4.06	359.091
C000151	4.80_405.1979	RP_POS	4.8	405.1979
C000152	14.07_421.2196	RP_POS	14.07	421.2196
C000153	7.69_375.1029	RP_POS	7.69	375.1029
C000154	12.17_257.2262	RP_POS	12.17	257.2262
C000155	3.43_211.1440	RP_POS	3.43	211.144
