compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD00001	(2,4 or 2,5)-dimethylphenol sulfate	NA	NA
CPD00002	(N(1) + N(8))-acetylspermidine	NA	NA
CPD00003	(R)-3-hydroxybutyrylcarnitine	NA	53481617
CPD00004	(S)-3-hydroxybutyrylcarnitine	NA	NA
CPD00005	1,2,3-benzenetriol sulfate (1)	NA	NA
CPD00006	1,2,3-benzenetriol sulfate (2)	NA	NA
CPD00007	1,3,7-trimethylurate	C16361	79437
CPD00008	1,3-dimethylurate	NA	70346
CPD00009	1,5-anhydroglucitol (1,5-AG)	C07326	64960
CPD00010	1,6-anhydroglucose	NA	2724705
CPD00011	1,7-dimethylurate	C16356	91611
CPD00018	1-carboxyethylisoleucine	NA	NA
CPD00019	1-carboxyethylleucine	NA	NA
CPD00020	1-carboxyethylphenylalanine	NA	NA
CPD00021	1-carboxyethyltyrosine	NA	NA
CPD00022	1-carboxyethylvaline	NA	NA
CPD00023	1-kestose	C03661	440080
CPD00024	1-methyl-4-imidazoleacetate	C05828	75810
CPD00025	1-methyl-5-imidazoleacetate	NA	6451814
CPD00026	1-methyladenine	C02216	78821
CPD00027	1-methyladenosine	C02494	27476
CPD00028	1-methylguanidine	C02294	10111
CPD00029	1-methylguanine	NA	70315
CPD00030	1-methylguanosine	NA	96373
CPD00031	1-methylhistamine	C05127	3614
CPD00032	1-methylhistidine	C01152	92105
CPD00033	1-methylhypoxanthine	NA	70765
CPD00034	1-methylnicotinamide	C02918	457
CPD00035	1-methylurate	C16359	69726
CPD00036	1-methylxanthine	C16358	80220
CPD00037	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	NA	6436017
CPD00038	1-palmitoylglycerol (16:0)	NA	14900
CPD00039	1-ribosyl-imidazoleacetate*	C05131	5117448
CPD00012	11-dehydrocorticosterone sulfate	NA	NA
CPD00013	11-ketoetiocholanolone glucuronide	NA	NA
CPD00014	11-ketoetiocholanolone sulfate	NA	NA
CPD00015	12-dehydrocholate	NA	94235
CPD00016	16a-hydroxy DHEA 3-sulfate	NA	NA
CPD00017	17alpha-hydroxypregnanolone glucuronide	NA	NA
CPD00080	2'-O-methylcytidine	NA	150971
CPD00081	2'-O-methyluridine	NA	102212
CPD00054	2'-deoxyadenosine	C00559	13730
CPD00055	2'-deoxyguanosine	C00330	187790
CPD00040	2,3-dihydroxy-2-methylbutyrate	NA	301941
CPD00041	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	NA	NA
CPD00042	2,3-dihydroxyisovalerate	C04039	677
CPD00043	2,3-dihydroxypyridine	NA	28115
CPD00044	2,3-dimethylsuccinate	NA	11848
CPD00045	2,4,6-trihydroxybenzoate	NA	66520
CPD00046	2,6-dihydroxybenzoic acid	NA	9338
CPD00047	2,8-quinolinediol sulfate	NA	NA
CPD00049	2-acetamidophenol sulfate	NA	181671
CPD00050	2-aminoadipate	C00956	469
CPD00051	2-aminooctanoate	NA	69522
CPD00052	2-aminophenol sulfate	NA	181670
CPD00053	2-butenoylglycine	NA	6303498
CPD00056	2-ethylphenylsulfate	NA	NA
CPD00057	2-furoylcarnitine	NA	NA
CPD00058	2-hydroxy-3-methylvalerate	NA	164623
CPD00059	2-hydroxyacetaminophen sulfate*	NA	86290013
CPD00060	2-hydroxyadipate	C02360	193530
CPD00061	2-hydroxybutyrate/2-hydroxyisobutyrate	NA	NA
CPD00062	2-hydroxyglutarate	C02630	43
CPD00063	2-hydroxyhippurate (salicylurate)	C07588	10253
CPD00064	2-hydroxyibuprofen	NA	10443535
CPD00065	2-hydroxyoctanoate	NA	94180
CPD00066	2-hydroxyphenylacetate	C05852	11970
CPD00067	2-isopropylmalate	C02504	77
CPD00068	2-keto-3-deoxy-gluconate	C00204	161227
CPD00069	2-ketogluconate	NA	3035456
CPD00070	2-methoxyacetaminophen glucuronide*	NA	14367271
CPD00071	2-methoxyacetaminophen sulfate*	NA	86290014
CPD00072	2-methoxyresorcinol sulfate	NA	NA
CPD00073	2-methylbutyrylcarnitine (C5)	NA	6426901
CPD00074	2-methylbutyrylglycine (C5)	NA	193872
CPD00075	2-methylcitrate	C02225	515;439681
CPD00076	2-methylmalonylcarnitine (C4-DC)	NA	53481628
CPD00077	2-methylserine	C02115	94309
CPD00078	2-naphthol sulfate	NA	74428
CPD00079	2-octenoylglutamine	NA	NA
CPD00082	2-oxindole-3-acetate	NA	3080590
CPD00083	2-oxo-1-pyrrolidinepropionate	NA	3146688
CPD00084	2-oxoadipate	C00322	71
CPD00085	2-oxoarginine*	C03771	558
CPD00086	2-piperidinone	NA	12665
CPD00087	2-pyrrolidinone	NA	12025
CPD00048	21-hydroxypregnenolone disulfate	NA	134595
CPD00088	2S,3R-dihydroxybutyrate	NA	10964471
CPD00106	3'-a-sialyl-N-acetyllactosamine	NA	NA
CPD00159	3'-sialyllactose	NA	123914
CPD00096	3,4-dihydroxybutyrate	NA	NA
CPD00097	3,4-dihydroxyphenylacetate	C01161	547
CPD00098	3,4-dihydroxyphenylacetate sulfate	NA	193283
CPD00099	3,5-dihydroxybenzoic acid	NA	7424
CPD00100	3,7-dimethylurate	C16360	83126
CPD00089	3-(3-amino-3-carboxypropyl)uridine*	NA	171198
CPD00090	3-(3-hydroxyphenyl)propionate	C11457	91
CPD00091	3-(3-hydroxyphenyl)propionate sulfate	NA	187488
CPD00092	3-(4-hydroxyphenyl)lactate (HPLA)	C03672	9378
