BIOCHEMICAL	KEGG	PUBCHEM	compound_id
(14 or 15)-methylpalmitate (a17:0 or i17:0)	C16995	8181,17903417	C000001
(15:2)-anacardic acid	NA	11824131	C000002
(16 or 17)-methylstearate (a19:0 or i19:0)	NA	3083779	C000003
(2,4 or 2,5)-dimethylphenol sulfate	NA	NA	C000004
(N(1) + N(8))-acetylspermidine	C01029,C00612	496,123689	C000005
(R)-3-hydroxybutyrylcarnitine	NA	53481617	C000006
(S)-3-hydroxybutyrylcarnitine	NA	71464477	C000007
1,2,3-benzenetriol sulfate (2)	NA	92013662,54110629	C000008
1,2-dilinoleoyl-GPC (18:2/18:2)	NA	5288075	C000009
1,2-dilinoleoyl-GPE (18:2/18:2)*	NA	9546812	C000010
1,2-dipalmitoyl-GPC (16:0/16:0)	D03585	452110	C000011
1,3,7-trimethylurate	C16361	79437	C000012
1,3-dimethylurate	NA	70346	C000013
1,5-anhydroglucitol (1,5-AG)	C07326	64960	C000014
1,7-dimethylurate	C16356	91611	C000015
1-(1-enyl-oleoyl)-GPE (P-18:1)*	NA	NA	C000016
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	NA	NA	C000017
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	NA	52925126	C000018
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	NA	24779386	C000019
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	NA	52925127	C000020
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	NA	34779384	C000021
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	NA	52925128	C000022
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	NA	52923882	C000023
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	NA	11146967	C000024
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	NA	10917802	C000025
1-(1-enyl-palmitoyl)-GPE (P-16:0)*	NA	NA	C000026
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	NA	9547058	C000027
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	NA	NA	C000028
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	NA	42607457	C000029
1-(1-enyl-stearoyl)-GPE (P-18:0)*	NA	NA	C000030
1-arachidonoyl-GPA (20:4)	NA	42607498	C000031
1-arachidonoyl-GPC (20:4n6)*	C05208	24779476	C000032
1-arachidonoyl-GPE (20:4n6)*	NA	42607465	C000033
1-arachidonoyl-GPI (20:4)*	NA	121596217	C000034
1-arachidonylglycerol (20:4)	C13857	16019980,5282281	C000035
1-carboxyethylisoleucine	NA	NA	C000036
1-carboxyethylleucine	NA	NA	C000037
1-carboxyethylphenylalanine	NA	59100900	C000038
1-carboxyethyltyrosine	NA	NA	C000039
1-carboxyethylvaline	NA	NA	C000040
1-cerotoyl-GPC (26:0)*	NA	NA	C000041
1-dihomo-linolenylglycerol (20:3)	NA	NA	C000042
1-hydroxy-2-naphthalenecarboxylate	C03203	54675865	C000043
1-lignoceroyl-GPC (24:0)	NA	24779481	C000044
1-linolenoyl-GPC (18:3)*	C04100	NA	C000045
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	C05208	24778979	C000046
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	NA	52922731	C000047
1-linoleoyl-GPA (18:2)*	NA	NA	C000048
1-linoleoyl-GPC (18:2)	C04100	11988421	C000049
1-linoleoyl-GPE (18:2)*	NA	52925130	C000050
1-linoleoyl-GPG (18:2)*	NA	NA	C000051
1-linoleoyl-GPI (18:2)*	NA	11124828	C000052
1-linoleoylglycerol (18:2)	NA	5283469	C000053
1-methyl-4-imidazoleacetate	C05828	75810	C000054
1-methylhistidine	C01152	92105	C000055
1-methylnicotinamide	C02918	457	C000056
1-methylurate	C16359	69726	C000057
1-methylxanthine	C16358	80220	C000058
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	NA	24778634	C000059
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	NA	129657	C000060
1-myristoylglycerol (14:0)	C01885	10957631	C000061
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*	NA	348281223	C000062
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	NA	24778955	C000063
1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*	NA	52922113	C000064
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	NA	9546753	C000065
1-oleoyl-GPC (18:1)	C03916	16081932	C000066
1-oleoyl-GPE (18:1)	NA	9547071	C000067
1-oleoyl-GPG (18:1)*	NA	NA	C000068
1-oleoyl-GPI (18:1)	NA	86289645	C000069
1-oleoylglycerol (18:1)	NA	5283468	C000070
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	NA	52922452	C000071
1-palmitoleoyl-GPC (16:1)*	NA	24779461	C000072
1-palmitoleoylglycerol (16:1)*	NA	NA	C000073
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	C05208	10747814	C000074
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	C05210	9546800	C000075
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	NA	NA	C000076
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	NA	NA	C000077
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	NA	6441886	C000078
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	NA	9546799	C000079
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	NA	5287971	C000080
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	NA	9546747	C000081
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	NA	46891795	C000082
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	C13875	6436017	C000083
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	NA	5283496	C000084
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	NA	71296232	C000085
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	NA	6443788	C000086
1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	C03889	24778686	C000087
1-palmitoyl-GPC (16:0)	C04102	86554	C000088
1-palmitoyl-GPE (16:0)	NA	9547069	C000089
1-palmitoyl-GPG (16:0)*	NA	3300276	C000090
1-palmitoyl-GPI (16:0)	NA	71296207	C000091
1-ribosyl-imidazoleacetate*	C05131	440569	C000092
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	NA	16219824	C000093
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	C05210	5289133	C000094
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	NA	NA	C000095
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	NA	24778876	C000096
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	NA	9546798	C000097
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	NA	6441487	C000098
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	NA	9546749	C000099
1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	NA	NA	C000100
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	NA	24778825	C000101
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	NA	9546742	C000102
1-stearoyl-2-oleoyl-GPG (18:0/18:1)	NA	24779551	C000103
1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	NA	NA	C000104
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	NA	9547087	C000105
1-stearoyl-GPC (18:0)	NA	497300	C000106
1-stearoyl-GPE (18:0)	NA	9547068	C000107
1-stearoyl-GPG (18:0)	NA	NA	C000108
1-stearoyl-GPI (18:0)	NA	71581135,42607495	C000109
10-heptadecenoate (17:1n7)	NA	5312435	C000110
10-nonadecenoate (19:1n9)	NA	5312513	C000111
10-undecenoate (11:1n1)	C13910	14891	C000112
12,13-DiHOME	C14829	10236635	C000113
13-HODE + 9-HODE	C14767,C14762	5312830,5282945,1424,5282947,5282944	C000114
16-hydroxypalmitate	C18218	10466	C000115
16alpha-hydroxy DHEA 3-sulfate	NA	20848950	C000116
17alpha-hydroxypregnanolone glucuronide	NA	NA	C000117
1H-indole-7-acetic acid	NA	18356439	C000118
2'-O-methylcytidine	NA	150971	C000119
2'-O-methyluridine	NA	102212	C000120
2'-deoxyuridine	C00526	13712	C000121
2,3-dihydroxy-2-methylbutyrate	NA	301941	C000122
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	NA	NA	C000123
2,3-dihydroxyisovalerate	C04039	677	C000124
2,8-quinolinediol sulfate	NA	NA	C000125
2-acetamidophenol sulfate	NA	181671	C000126
2-aminoadipate	C00956	92136	C000127
2-aminobutyrate	C02356	80283	C000128
2-aminoheptanoate	NA	227939	C000129
2-aminooctanoate	NA	69522	C000130
2-aminophenol sulfate	NA	181670	C000131
2-butenoylglycine	NA	6303498	C000132
2-ethylphenylsulfate	NA	NA	C000133
2-hydroxy-3-methylvalerate	NA	164623	C000134
2-hydroxyacetaminophen sulfate*	NA	86290013	C000135
2-hydroxyarachidate*	NA	5225199	C000136
2-hydroxybehenate	NA	193484	C000137
2-hydroxybutyrate/2-hydroxyisobutyrate	C21297,C05984	440864,4277439	C000138
2-hydroxydecanoate	NA	21488	C000139
2-hydroxyfluorene sulfate	NA	NA	C000140
2-hydroxyglutarate	C02630	43	C000141
2-hydroxyhippurate (salicylurate)	C07588	10253	C000142
2-hydroxyibuprofen	NA	10443535	C000143
2-hydroxylaurate	NA	97783	C000144
2-hydroxynervonate*	NA	5312783	C000145
2-hydroxyoctanoate	NA	94180,6995013,5312860	C000146
2-hydroxypalmitate	NA	12575964,92836,11065598	C000147
2-hydroxystearate	C03042,C03045	439887,439885,69417	C000148
2-isopropylmalate	C02504	77	C000149
2-keto-3-deoxy-gluconate	C00204	161227	C000150
2-linoleoylglycerol (18:2)	NA	5365676	C000151
2-methoxyacetaminophen glucuronide*	NA	121596203	C000152
2-methoxyacetaminophen sulfate*	NA	86290014	C000153
2-methoxyresorcinol sulfate	NA	NA	C000154
2-methylbutyrylcarnitine (C5)	NA	6426901	C000155
2-methylbutyrylglycine	NA	193872	C000156
2-methylcitrate/homocitrate	C01251	439459,515	C000157
2-methylmalonylcarnitine (C4-DC)	NA	53481628	C000158
2-methylserine	C02115	94309	C000159
2-naphthol sulfate	NA	74428	C000160
2-oleoylglycerol (18:1)	NA	5319879	C000161
2-oxoarginine*	C03771	558	C000162
2-palmitoleoyl-GPC (16:1)*	NA	122164832	C000163
2-palmitoyl-GPC (16:0)*	NA	15061532	C000164
2-palmitoylglycerol (16:0)	NA	123409	C000165
2-piperidinone	NA	12665	C000166
2-stearoyl-GPE (18:0)*	NA	90658453,53480667	C000167
21-hydroxypregnenolone disulfate	NA	134595	C000168
3,7-dimethylurate	C16360	83126	C000169
3-(3-hydroxyphenyl)propionate	C11457	91	C000170
3-(3-hydroxyphenyl)propionate sulfate	NA	187488	C000171
3-(4-hydroxyphenyl)lactate	C03672	9378	C000172
3-(N-acetyl-cystein-S-yl) acetaminophen	NA	83967	C000173
