compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD00001	1,11-undecanedicarboxylate	10458	
CPD00002	1,2-propanediol		C00583
CPD00003	1,4-butanediol		
CPD00004	1,5-anhydroglucitol (1,5-AG)		C07326
CPD00005	12-HETE		
CPD00006	13-HODE + 9-HODE		
CPD00007	2,3-butanediol		C03044
CPD00008	2,3-dihydroxyisovalerate	677	C04039
CPD00009	2-aminoadipate	469	C00956
CPD00010	2-hydroxy-3-methylvalerate	164623	
CPD00011	2-hydroxybutyrate (AHB)	440864	C05984
CPD00012	2-hydroxyglutarate	43	C02630
CPD00013	2-hydroxypalmitate	92836	
CPD00014	2-hydroxystearate	69417	C03045
CPD00015	3-(4-hydroxyphenyl)lactate	9378	C03672
CPD00016	3-(4-hydroxyphenyl)propionate	10394	C01744
CPD00017	3-aminoisobutyrate	64956	C05145
CPD00018	3-dehydrocarnitine*	6991982	C02636
CPD00019	3-hydroxybutyrate (BHBA)	441	C01089
CPD00020	3-hydroxyindolin-2-one	6097	C11130
CPD00021	3-hydroxypropanoate	5459847	C01013
CPD00022	3-indoxyl sulfate	10258	
CPD00023	3-phenylpropionate (hydrocinnamate)		C05629
CPD00024	3-phosphoglycerate		C00597
CPD00025	4-hydroxybutyrate (GHB)	10413	C00989
CPD00026	4-hydroxyphenylacetate	4693933	C00642
CPD00027	4-hydroxyphenylpyruvate	979	C01179
CPD00028	4-methyl-2-oxopentanoate	70	C00233
CPD00029	5,6-dihydrouracil	649	C00429
CPD00030	5-aminovalerate	6992101138	C00431
CPD00031	5-hydroxymethyl-2-furoic acid	80642	
CPD00032	5-oxoproline	7405	C01879
CPD00033	8-hydroxyoctanoate	69820	
CPD00034	acetoacetate	96	C00164
CPD00035	acetylcarnitine	7045767	C02571
CPD00036	adenine	190	C00147
CPD00037	adenosine 5'-monophosphate (AMP)	15938965	C00020
CPD00038	agmatine	199	C00179
CPD00039	alanine	59507311724	C00041
CPD00040	alanylalanine	54603626992112	C00993
CPD00041	alanylvaline	137276	
CPD00042	allantoin	204	C02350
CPD00043	alpha-glutamylglutamate	439500	C01425
CPD00044	alpha-hydroxyisocaproate	83697	C03264
CPD00045	alpha-hydroxyisovalerate	99823	
CPD00046	alpha-ketobutyrate	3593277	C00109
CPD00047	alpha-ketoglutarate	51	C00026
CPD00048	arabinose	66308	C00216
CPD00049	arabitol	94154	C00474
CPD00050	arabonate	122045	
CPD00051	arachidonate (20:4n6)	444899	C00219
CPD00052	arginine	5246487232	C00062
CPD00053	arginylisoleucine	433625	
CPD00054	arginylphenylalanine	4441256	
CPD00055	arginylproline	332964	
CPD00056	asparagylleucine		
CPD00057	aspartate	5960	C00049
CPD00058	azelate (nonanedioate)	2266	C08261
CPD00059	benzoate	243	C00180
CPD00060	beta-alanine	2394755801	C00099
CPD00061	butyrylcarnitine	213144	
CPD00062	cadaverine		C01672
CPD00063	caffeine	2519	C07481
CPD00064	caprate (10:0)	2969	C01571
CPD00065	caproate (6:0)	8892	C01585
CPD00066	caprylate (8:0)	379	C06423
CPD00067	carnitine	10917	C00318
CPD00068	catechol sulfate	3083879	C00090
CPD00069	choline phosphate	135437	C00588
CPD00070	citrate	311	C00158
CPD00071	citrulline	833	C00327
CPD00072	cortisone	222786408722	C00762
CPD00073	creatine	586	C00300
CPD00074	cyclo(leu-pro)	7074739	
CPD00075	cysteine	58626419722	C00097
CPD00076	cytidine	6175	C00475
CPD00077	deoxycarnitine	725	C01181
CPD00078	dihomo-linolenate (20:3n3 or n6)	5312529	C03242
CPD00079	docosadioate	244872	
CPD00080	dodecanedioate	12736	C02678
CPD00081	eicosanodioate	75502	
CPD00082	eicosenoate (20:1n9 or 11)		
CPD00083	erythritol		C00503
CPD00084	erythronate*	2781043	
CPD00085	ethanolamine		C00189
CPD00086	fructose	5984	C00095
CPD00087	fructose-6-phosphate		C05345
CPD00088	fucose	3034656	C02095
CPD00089	fumarate		C00122
CPD00090	galactose	3037556	C01582
CPD00091	gamma-aminobutyrate (GABA)	6992099119	C00334
CPD00092	gluconate	10690	C00257
CPD00093	glucose	79025	C00031
CPD00094	glucose-6-phosphate (G6P)		C00668
CPD00095	glutamate	611	C00025
CPD00096	glutamine	5961	C00064
CPD00097	glutamine-glutamate		
CPD00098	glutamine-leucine		
CPD00099	glutarate (pentanedioate)	4418048	C00489
CPD00100	glycerate	752	C00258
CPD00101	glycerol	753	C00116
CPD00102	glycerol 3-phosphate (G3P)	754	C00093
CPD00103	glycerophosphorylcholine (GPC)	657272	C00670
CPD00104	glycine	5257127750	C00037
CPD00105	glycolate (hydroxyacetate)	3698251757	C00160
CPD00106	glycylglycine	154889711163	C02037
CPD00107	glycylproline	30136256993386	
CPD00108	glycyltyrosine	928296994980	
CPD00109	guanine	764	C00242
CPD00110	guanosine	6802	C00387
CPD00111	gulono-1,4-lactone	608	C01040
CPD00112	heptanoate (7:0)	8094	C17714
CPD00113	hexadecanedioate	10459	
CPD00114	hippurate	464	C01586
CPD00115	histidine	7733651426	C00135
CPD00116	histidylhistidine	101638	
CPD00117	histidylproline		
CPD00118	homoserine	126476971022	C00263
CPD00119	hypoxanthine	790	C00262
CPD00120	imidazole propionate	70630	
CPD00121	indoleacetate	802	C00954
CPD00122	inositol 1-phosphate (I1P)		C04006
CPD00123	isoleucine	791	C00407
CPD00124	isoleucylalanine	52460095246010	
CPD00125	isoleucylglycine	342532	
CPD00126	isoleucylserine		
CPD00127	isovalerylcarnitine	6426851	
CPD00128	lactate	612	C00186
CPD00129	leucine	70457986106	C00123
CPD00130	leucylalanine	259321	
CPD00131	leucylglutamate	52595895259590	
CPD00132	leucylglycine	79070	
CPD00133	leucylisoleucine		
CPD00134	leucylleucine	768076992072	C11332
CPD00135	leucylphenylalanine	259325	
CPD00136	leucyltyrosine	273262	
CPD00137	levulinate (4-oxovalerate)	11579	
CPD00138	lysine	5962	C00047
