compound_id	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	RI	MZ	PLATFORM	KEGG
CPD00001	(16 or 17)-methylstearate (a19:0 or i19:0)	Lipid	Fatty Acid, Branched	5993	297.2799	LC/MS Neg	
CPD00002	(2,4 or 2,5)-dimethylphenol sulfate	Xenobiotics	Food Component/Plant	3474	201.0227	LC/MS Neg	
CPD00003	(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	3080	188.17574	LC/MS Pos Early	
CPD00004	1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid	Lysoplasmalogen	1566	464.3136	LC/MS Pos Late	
CPD00005	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	Lipid	Plasmalogen	2154	766.57452	LC/MS Pos Late	
CPD00006	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	Lipid	Plasmalogen	2270	724.52757	LC/MS Pos Late	
CPD00007	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	Lipid	Plasmalogen	2226	742.57452	LC/MS Pos Late	
CPD00008	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	Lipid	Plasmalogen	2351	700.52757	LC/MS Pos Late	
CPD00009	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	Lipid	Plasmalogen	2443	744.59017	LC/MS Pos Late	
CPD00010	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	Lipid	Plasmalogen	2600	702.54322	LC/MS Pos Late	
CPD00011	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	Lipid	Plasmalogen	2218	716.55887	LC/MS Pos Late	
CPD00012	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	Lipid	Plasmalogen	2454	718.57452	LC/MS Pos Late	
CPD00013	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lipid	Lysoplasmalogen	1547	480.34485	LC/MS Pos Late	
CPD00014	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen	1558	438.2979	LC/MS Pos Late	
CPD00015	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	Lipid	Plasmalogen	2511	752.55887	LC/MS Pos Late	
CPD00016	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	Lipid	Plasmalogen	2633	728.55887	LC/MS Pos Late	
CPD00017	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	Lipid	Plasmalogen	2950	730.57452	LC/MS Pos Late	
CPD00018	1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen	1649	466.3292	LC/MS Pos Late	
CPD00019	1,2,3-benzenetriol sulfate (1)	Xenobiotics	Chemical	1453	204.98123	LC/MS Neg	
CPD00020	1,2,3-benzenetriol sulfate (2)	Xenobiotics	Chemical	1709	204.98123	LC/MS Neg	
CPD00021	1,2-dilinoleoyl-GPC (18:2/18:2)	Lipid	Phosphatidylcholine (PC)	2006	782.56944	LC/MS Pos Late	
CPD00022	1,2-dilinoleoyl-GPE (18:2/18:2)*	Lipid	Phosphatidylethanolamine (PE)	2083	740.52248	LC/MS Pos Late	
CPD00023	1,2-dipalmitoyl-GPC (16:0/16:0)	Lipid	Phosphatidylcholine (PC)	2365	734.56944	LC/MS Pos Late	
CPD00024	1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	1985	209.06801	LC/MS Neg	C16361
CPD00025	1,5-anhydroglucitol (1,5-AG)	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	802	163.06119	LC/MS Neg	C07326
CPD00026	1,7-dimethylurate	Xenobiotics	Xanthine Metabolism	1578.6	195.05236	LC/MS Neg	C16356
CPD00027	10-heptadecenoate (17:1n7)	Lipid	Long Chain Fatty Acid	5555	267.23295	LC/MS Neg	
CPD00028	10-nonadecenoate (19:1n9)	Lipid	Long Chain Fatty Acid	5780	295.26425	LC/MS Neg	
CPD00029	10-undecenoate (11:1n1)	Lipid	Medium Chain Fatty Acid	5085.8	183.13905	LC/MS Neg	C13910
CPD00030	12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy	5137	313.23843	LC/MS Neg	C14829
CPD00031	12-HETE	Lipid	Eicosanoid	5326	319.22786	LC/MS Neg	
CPD00032	13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy	5275	295.22825	LC/MS Neg	
CPD00033	16a-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids	4240	383.15338	LC/MS Neg	
CPD00034	17alpha-hydroxypregnenolone 3-sulfate	Lipid	Pregnenolone Steroids	4800	411.18468	LC/MS Neg	
CPD00035	1-arachidonoyl-GPA (20:4)	Lipid	Lysophospholipid	5499	457.23606	LC/MS Neg	
CPD00036	1-arachidonoyl-GPC (20:4n6)*	Lipid	Lysophospholipid	1460	544.33977	LC/MS Pos Late	C05208
CPD00037	1-arachidonoyl-GPE (20:4n6)*	Lipid	Lysophospholipid	1470	502.29282	LC/MS Pos Late	
CPD00038	1-arachidonoyl-GPI (20:4)*	Lipid	Lysophospholipid	5482	619.28888	LC/MS Neg	
CPD00039	1-arachidonylglycerol (20:4)	Lipid	Monoacylglycerol	6250	303.23293	LC/MS Neg	C13857
CPD00040	1-carboxyethylisoleucine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2628	202.10848	LC/MS Neg	
CPD00041	1-carboxyethylleucine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2663	202.10848	LC/MS Neg	
CPD00042	1-carboxyethylphenylalanine	Amino Acid	Phenylalanine Metabolism	2844	236.09283	LC/MS Neg	
CPD00043	1-carboxyethyltyrosine	Amino Acid	Tyrosine Metabolism	1846	252.08774	LC/MS Neg	
CPD00044	1-carboxyethylvaline	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2008	188.09283	LC/MS Neg	
CPD00045	1-dihomo-linolenylglycerol (20:3)	Lipid	Monoacylglycerol	6400	305.24858	LC/MS Neg	
CPD00046	1-dihomo-linolenoyl-GPC (20:3n3 or 6)*	Lipid	Lysophospholipid	6029	620.3569	LC/MS Neg	
CPD00047	1-hydroxy-2-naphthalenecarboxylate	Xenobiotics	Drug - Other	3930	187.04006	LC/MS Neg	C03203
CPD00048	1-lignoceroyl-GPC (24:0)	Lipid	Lysophospholipid	1907	608.46497	LC/MS Pos Late	
CPD00049	1-linolenoylglycerol (18:3)	Lipid	Monoacylglycerol	6214	277.21728	LC/MS Neg	
CPD00050	1-linolenoyl-GPC (18:3)*	Lipid	Lysophospholipid	1410	518.32412	LC/MS Pos Late	
