compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD00001	(R)-salsolinol		
CPD00002	1-(1-enyl-oleoyl)-GPE (P-18:1)*		
CPD00003	1-(1-enyl-palmitoyl)-GPE (P-16:0)*		
CPD00004	1-(1-enyl-stearoyl)-GPE (P-18:0)*		
CPD00005	1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)		54754
CPD00006	1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*	c13871	5282287
CPD00007	1,2-dilinoleoyl-galactosylglycerol (18:2/18:2)*		6535011
CPD00008	1,2-dilinoleoyl-GPC (18:2/18:2)		5288075
CPD00009	1,2-dipalmitoyl-GPC (16:0/16:0)		452110
CPD00010	1,3,7-trimethylurate	c16361	79437
CPD00011	1,3-dimethylurate		70346
CPD00012	1,7-dimethylurate	c16356	91611
CPD00013	10-hydroxystearate		9561835
CPD00014	11-ketoetiocholanolone sulfate		
CPD00015	12,13-DiHOME	c14829	10236635
CPD00016	12-dehydrocholate		94235
CPD00017	13-HODE + 9-HODE	c14767,c14762	43013
CPD00018	16a-hydroxy DHEA 3-sulfate	c38168	20848950
CPD00019	1-linolenoylglycerol (18:3)		53480978
CPD00020	1-linoleoyl-2-linolenoyl-digalactosylglycerol (18:2/18:3)*		
CPD00021	1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2/18:3)*		
CPD00022	1-linoleoylglycerol (18:2)		5283469
CPD00023	1-linoleoyl-GPC (18:2)	c04100	11988421
CPD00024	1-linoleoyl-GPE (18:2)*		52925130
CPD00025	1-methyladenine	c02216	78821
CPD00026	1-methyl-beta-carboline-3-carboxylic acid		5406157
CPD00027	1-methylguanidine	c02294	10111
CPD00028	1-methylnicotinamide	c02918	10129985
CPD00029	1-methylurate	c16359	69726
CPD00030	1-methylxanthine	c16358	80220
CPD00031	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*		
CPD00032	1-oleoylglycerol (18:1)		5283468
CPD00033	1-oleoyl-GPC (18:1)	c03916	16081932
CPD00034	1-oleoyl-GPE (18:1)		9547071
CPD00035	1-palmitoyl-2-linolenoyl-digalactosylglycerol (16:0/18:3)		
CPD00036	1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*		
CPD00037	1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*		
CPD00038	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)		9546747
CPD00039	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	c13875	6436017
CPD00040	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	c19263	5283496
CPD00041	1-palmitoyl-GPC (16:0)	c04102	86554
CPD00042	1-palmitoyl-GPE (16:0)		9547069
CPD00043	1-palmitoyl-GPG (16:0)*		3300276
CPD00044	1-palmitoyl-GPS (16:0)*		9547100
CPD00045	1-stearoyl-2-oleoyl-GPC (18:0/18:1)		24778825
CPD00046	1-stearoyl-GPC (18:0)		497299
CPD00047	1-stearoyl-GPE (18:0)		9547068
CPD00048	1-stearoyl-GPG (18:0)		
CPD00049	1-stearoyl-GPI (18:0)		
CPD00050	1-stearoyl-GPS (18:0)*		9547101
CPD00051	2,3-dihydroxyisovalerate	c04039	677
CPD00052	2,3-dimethylsuccinate		11848
CPD00053	2,4,6-trihydroxybenzoate		66520
CPD00054	2,4-dihydroxyhydrocinnamate		96384
CPD00055	2,8-quinolinediol	c06342	97250
CPD00056	2-acetamidobutanoate		306107
CPD00057	2-aminoadipate	c00956	469
CPD00058	2-aminophenol	c01987	5801
CPD00059	2-aminophenol sulfate		181670
CPD00060	2'-deoxyadenosine	c00559	13730
CPD00061	2'-deoxyadenosine 5'-monophosphate	c00360	12599
CPD00062	2'-deoxycytidine	c00881	13711
CPD00063	2'-deoxyguanosine	c00330	187790
CPD00064	2'-deoxyinosine	c05512	65058
CPD00065	2'-deoxyuridine	c00526	13712
CPD00066	2-hydroxy-3-methylvalerate		164623
CPD00067	2-hydroxybehenate		193484
CPD00068	2-hydroxybutyrate/2-hydroxyisobutyrate	c21297,c05984	52281
CPD00069	2-hydroxydecanoate		21488
CPD00070	2-hydroxyglutarate	c02630	43
CPD00071	2-hydroxylaurate		97783
CPD00072	2-hydroxypalmitate		92836
CPD00073	2-isopropylmalate	c02504	77
CPD00074	2-keto-3-deoxy-gluconate	c00204	161227
CPD00075	2-linoleoylglycerol (18:2)		5365676
CPD00076	2-methylcitrate/homocitrate	c01251	
CPD00077	2-methylserine	c02115	94309
CPD00078	2-oleoylglycerol (18:1)		5319879
CPD00079	2'-O-methyluridine		102212
CPD00080	2-oxindole-3-acetate		3080590
CPD00081	2-oxoarginine*	c03771	558
CPD00082	2-palmitoylglycerol (16:0)		123409
CPD00083	2-piperidinone		12665
CPD00084	3-(2-hydroxyphenyl)propionate	c01198	873
CPD00085	3-(3-hydroxyphenyl)propionate	c11457	91
CPD00086	3-(3-hydroxyphenyl)propionate sulfate		187488
CPD00087	3-(4-hydroxyphenyl)propionate	c01744	10394
CPD00088	3,4-dihydroxybenzoate	c00230	72
CPD00089	3,4-dihydroxyphenylacetate	c01161	547
CPD00090	3,7-dimethylurate	c16360	83126
CPD00091	3-aminoisobutyrate	c05145	64956
CPD00092	3beta-hydroxy-5-cholestenoate	c17333	165511
CPD00093	3b-hydroxy-5-cholenoic acid		92997
CPD00094	3-carboxyadipate		222467
CPD00095	3-dehydrocholate		159655
CPD00096	3-hydroxy-3-methylglutarate	c03761	1662
CPD00097	3-hydroxybutyrate (BHBA)	c01089	441
CPD00098	3-hydroxyhexanoate		151492
CPD00099	3-hydroxylaurate		94216
CPD00100	3-hydroxyoctanoate	c20793	26613
CPD00101	3-hydroxyphenylacetate	c05593	12122
CPD00102	3-hydroxysebacate		3017884
CPD00103	3-hydroxysuberate		22328017
CPD00104	3-ketosphinganine	c02934	631
CPD00105	3-methyl-2-oxobutyrate	c00141	49
CPD00106	3-methyl-2-oxovalerate	c00671	47
CPD00107	3-methyladipate		12292
CPD00108	3-methylglutarate/2-methylglutarate		
CPD00109	3-methylhistidine	c01152	64969
CPD00110	3-methylxanthine	c16357	70639
CPD00111	3-phenylpropionate (hydrocinnamate)	c05629	107
CPD00112	3-sulfo-L-alanine	c00506	72886
CPD00113	3-ureidopropionate	c02642	111
CPD00114	4-acetamidobenzoate		19266
CPD00115	4-acetamidobutanoate	c02946	18189
CPD00116	4-cholesten-3-one	c00599	91477
CPD00117	4-guanidinobutanoate	c01035	500
CPD00118	4-hydroxybenzoate	c00156	135
CPD00119	4-hydroxycinnamate	c00811	637542
CPD00120	4-hydroxycyclohexylcarboxylic acid	c04404	151138
CPD00121	4-hydroxyhippurate		151012
CPD00122	4-hydroxyphenylacetate	c00642	127
CPD00123	4-hydroxyphenylpyruvate	c01179	979
CPD00124	4-imidazoleacetate	c02835	96215
CPD00125	4-methyl-2-oxopentanoate	c00233	70
CPD00126	4-methylcatechol sulfate		54104170
CPD00127	5-(2-Hydroxyethyl)-4-methylthiazole	c04294	1136
CPD00128	5-acetylamino-6-amino-3-methyluracil	c16366	88299
CPD00129	5-acetylamino-6-formylamino-3-methyluracil	c16365	108214
CPD00130	5alpha-androstan-3alpha,17alpha-diol disulfate		
CPD00131	5alpha-androstan-3alpha,17beta-diol disulfate		56639109
CPD00132	5alpha-androstan-3alpha,17beta-diol monosulfate (1)		
CPD00133	5alpha-androstan-3beta,17alpha-diol disulfate		56639109
CPD00134	5alpha-androstan-3beta,17alpha-diol monosulfate (1)		
CPD00135	5alpha-androstan-3beta,17beta-diol disulfate	c12525	242332
CPD00136	5alpha-androstan-3beta,17beta-diol monosulfate (1)		
CPD00137	5alpha-androstan-3beta,17beta-diol monosulfate (2)		
