compound_id	BIOCHEMICAL	INCHIKEY
CPD00460	(16 or 17)-methylstearate (a19:0 or i19:0)	YETXGSGCWODRAA-UHFFFAOYAR
CPD00845	(2 or 3)-decenoate (10:1n7 or n8)	
CPD00799	(2,4 or 2,5)-dimethylphenol sulfate	
CPD00738	(N(1) + N(8))-acetylspermidine	
CPD00507	(R)-3-hydroxybutyrylcarnitine	
CPD00669	(S)-3-hydroxybutyrylcarnitine	
CPD00838	(S)-a-amino-omega-caprolactam	BOWUOGIPSRVRSJ-RXMQYKEDBD
CPD00541	1-(1-enyl-oleoyl)-GPE (P-18:1)*	
CPD00642	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	IOYKZPNDXIIXLN-LOQSCQKMBD
CPD00638	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	UUYSKERSKRMYME-MAIXUNBTBG
CPD00641	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	QLEHHUPUHJPURI-PWYDUFMYBJ
CPD00652	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	
CPD00640	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	
CPD00639	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	ZVVYJAAMWXATNY-PRWZWGSOBE
CPD00657	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	
CPD00658	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	
CPD00481	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	HTZINLFNXLXRBC-CQLBIITFBS
CPD00488	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	QYTPGOPLNFESQC-RLHAVTDZBD
CPD00637	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	URPXXNCTXCOATD-FXMFQVEGBH
CPD00662	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	
CPD00616	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	XVYPOHCSLJZFED-QZEVRULJBC
CPD00489	1-(1-enyl-stearoyl)-GPE (P-18:0)*	
CPD00594	1,2,3-benzenetriol sulfate (2)	
CPD00611	1,2-dilinoleoyl-GPC (18:2/18:2)	FVXDQWZBHIXIEJ-LNDKUQBDBA
CPD00660	1,2-dilinoleoyl-GPE (18:2/18:2)*	
CPD00219	1,2-dipalmitoyl-GPC (16:0/16:0)	KILNVBDSWZSGLL-KXQOOQHDBV
CPD00324	1,3,7-trimethylurate	BYXCFUMGEBZDDI-UHFFFAOYAE
CPD00263	1,3-dimethylurate	OTSBKHHWSQYEHK-UHFFFAOYAM
CPD00214	1,5-anhydroglucitol (1,5-AG)	MPCAJMNYNOGXPB-SLPGGIOYBT
CPD00326	1,7-dimethylurate	NOFNCLGCUJJPKU-UHFFFAOYAG
CPD00302	10-heptadecenoate (17:1n7)	GDTXICBNEOEPAZ-FPLPWBNLBM
CPD00301	10-nonadecenoate (19:1n9)	BBOWBNGUEWHNQZ-KTKRTIGZBX
CPD00280	10-undecenoate (11:1n1)	FRPZMMHWLSIFAZ-UHFFFAOYAJ
CPD00801	11beta-hydroxyandrosterone glucuronide	
CPD00802	11beta-hydroxyetiocholanolone glucuronide*	
CPD00004	12,13-DiHOME	CQSLTKIXAJTQGA-FLIBITNWBI
CPD00453	13-HODE + 9-HODE	
CPD00447	16a-hydroxy DHEA 3-sulfate	
CPD00547	17alpha-hydroxypregnanolone glucuronide	
CPD00360	1-arachidonoyl-GPC (20:4n6)*	LAXQYRRMGGEGOH-JXRLJXCWBN
CPD00366	1-arachidonoyl-GPE (20:4n6)*	ROPRRXYVXLDXQO-XSQXPFHXBE
CPD00340	1-arachidonylglycerol (20:4)	DCPCOKIYJYGMDN-DOFZRALJBT
CPD00568	1-dihomo-linolenylglycerol (20:3)	
CPD00536	1H-indole-7-acetic acid	KNSAWRXCIVESQC-UHFFFAOYAV
CPD00480	1-lignoceroyl-GPC (24:0)	4000
CPD00539	1-linolenoyl-GPC (18:3)*	
CPD00655	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	
CPD00680	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	
CPD00253	1-linoleoylglycerol (18:2)	WECGLUPZRHILCT-HZJYTTRNBQ
CPD00322	1-linoleoyl-GPC (18:2)	SPJFYYJXNPEZDW-UTJQPWESBU
CPD00365	1-linoleoyl-GPE (18:2)*	DBHKHNGBVGWQJE-HZJYTTRNBF
CPD00663	1-linoleoyl-GPG (18:2)*	
CPD00403	1-linoleoyl-GPI (18:2)*	
CPD00282	1-methyl-4-imidazoleacetate	ZHCKPJGJQOPTLB-UHFFFAOYAW
CPD00482	1-methyl-5-imidazoleacetate	UJCGYTCAMOHYCG-UHFFFAOYAA
CPD00254	1-methylhistidine	BRMWTNUJHUMWMS-LURJTMIEBU
CPD00003	1-methylnicotinamide	LDHMAVIPBRSVRG-UHFFFAOYAE
CPD00330	1-methylxanthine	MVOYJPOZRLFTCP-UHFFFAOYAI
CPD00656	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	
CPD00221	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	RFVFQQWKPSOBED-PSXMRANNBM
CPD00661	1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*	
CPD00654	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	
CPD00653	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	
CPD00241	1-oleoylglycerol (18:1)	RZRNAYUHWVFMIP-KTKRTIGZBM
CPD00298	1-oleoyl-GPC (18:1)	YAMUFBLWGFFICM-PTGWMXDIBX
CPD00364	1-oleoyl-GPE (18:1)	PYVRVRFVLRNJLY-MZMPXXGTBD
CPD00549	1-oleoyl-GPG (18:1)*	
CPD00402	1-oleoyl-GPI (18:1)	
CPD00681	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	
CPD00621	1-palmitoleoylglycerol (16:1)*	
CPD00354	1-palmitoleoyl-GPC (16:1)*	LFUDDCMNKWEORN-KHPPLWFEBO
CPD00613	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	IIZPXYDJLKNOIY-JXPKJXOSBS
CPD00631	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	DRIVXEVMDWCWLI-CAQMIEAIBF
CPD00634	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	KIQYUSYSJTUGFZ-GWAZTMTOBN
CPD00630	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	
CPD00614	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	IESVDEZGAHUQJU-ZLBXKVHBBA
CPD00632	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	MPWUZHVZZKSTPV-MADBQMNMBW
CPD00170	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	JLPULHDHAOZNQI-ZTIMHPMXBU
CPD00412	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	HBZNVZIRJWODIB-NHCUFCNUBC
CPD00169	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	BSNJSZUDOMPYIR-DMDPBSJXBZ
