compound_id	BIOCHEMICAL	KEGG
CPD00279	(5-Glutamyl)-glutamate	C05282
CPD00185	1-(5-(((((((5-(6-amino-9H-purin-9-yl)-4-(phosphonooxy)-3-(sulfooxy)tetrahydrofuran-2-yl)methoxy)(hydroxy)phosphoryl)oxy)(hydroxy)phosphoryl)oxy)methyl)-4-hydroxy-3-(sulfooxy)tetrahydrofuran-2-yl)-3-carboxypyridin-1-ium	NA
CPD00244	1,1-Dimethyl-4-phenylpiperazinium	NA
CPD00108	1,3,7-Trimethyluric acid	C16361
CPD00109	1,3,7-Trimethyluric acid_2	C16361
CPD00112	1,3-Dimethyluric acid	NA
CPD00300	10,13-dimethyl-3-((3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)oxonio)-2,3,4,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)-2-hydroxy-1l3-ethan-1-olate	NA
CPD00549	10,16-Dihydroxyhexadecanoic acid	C08285
CPD00094	10-Hydroxydecanoic acid	C02774
CPD00069	11.14-Eicosadienoic acid	C16525
CPD00547	11beta,17alpha,21-Trihydroxypregnenolone	C05489
CPD00552	12alpha-Hydroxy-3-oxochola-4,6-dienoate	C15569
CPD00550	15,16-Dihydrobiliverdin	C11630
CPD00319	16-Hydroxypalmitic acid	C18218
CPD00186	17-(1,5-dihydroxypentan-2-yl)-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol	NA
CPD00298	17-hydroxy-10,13-dimethyl-3-((3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)oxonio)hexadecahydro-cyclopenta[a]phenanthren-6-ide	NA
CPD00235	1-Acetylimidazole	C02560
CPD00234	1-Acetylimidazole_2	C02560
CPD00212	1-Methylhistidine	C01152
CPD00147	1-Pyrroline-3-hydroxy-5-carboxylate	C04281
CPD00276	1-Pyrroline-5-carboxylate	C03912
CPD00152	2-(alpha-Hydroxyethyl)thiamine diphosphate	C05125
CPD00175	2,3,4,5-tetrahydroxypentyl hydrogen sulfate	NA
CPD00553	2,3-Bis-O-(geranylgeranyl)-sn-glycero-1-phospho-serine	C20466
CPD00138	2,3-Dimethylmalate	C02360
CPD00176	2,4,6-trihydroxy-3-oxo-5-(sulfooxy)hexanoic acid	NA
CPD00128	2,5-Dioxopentanoate	C00433
CPD00184	2-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	NA
CPD00296	2-amino-4-(2-aminophenyl)-4-hydroxybutanoic acid??	NA
CPD00299	2-amino-6-[(4-amino-4-carboxybutanoyl)amino]heptanedioic acid	NA
CPD00146	2-Aminoadipate 6-semialdehyde	C04076
CPD00052	2-aminobutyric acid	C02356
CPD00160	2-Aminomalonate semialdehyde	C11822
CPD00286	2-Hydroxy-3-carboxybenzalpyruvate	C14095
CPD00073	2-Hydroxy-3-methylbutyric acid	NA
CPD00243	2-Hydroxyacetophenone	C07189
CPD00241	2-Hydroxyquinoline	C06338
CPD00149	2-Hydroxytridecane-1,2,3-tricarboxylate	C04655
CPD00011	2-Ketobutyric acid	C00109
CPD00114	2-Methyl-3-hydroxybutyric acid	NA
CPD00113	2-Methyl-3-hydroxybutyric acid_2	NA
CPD00115	2-Methyl-3-hydroxybutyric acid_3	NA
CPD00167	2-O-(6-Phospho-alpha-mannosyl)-glycerate	C16699
CPD00159	2-O-(alpha-Mannosyl)-glycerate	C11544
CPD00135	2-Oxoglutaramate	C00940
CPD00545	2-Succinylbenzoyl-CoA	C03160
CPD00556	3-(1-amino-2-(4-(2-carboxyethyl)-5-((3-(2-carboxyethyl)-4-methyl-5-((4-methyl-2-oxo-3-vinyl-2H-pyrrol-5-yl)methylene)pyrrolidin-2-ylidene)methyl)-3-methyl-1H-pyrrol-2-yl)vinyl)-2-methylpent-3-enoic acid	NA
CPD00180	3-(4-hydroxyphenyl)-2-sulfooxypropanoic acid	NA
CPD00178	3-(4-sulfooxyphenyl)propanoic acid	NA
CPD00230	3-(Pyrazol-1-yl)-alanine	C01162
CPD00297	3,4,5-trihydroxy-6-(((4aR,6R,7R,7aR)-2-hydroxy-6-(2-hydroxy-4-iminopyrimidin-1(4H)-yl)-2-oxidotetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-yl)oxy)tetrahydro-2H-pyran-2-carboxylic acid	NA
CPD00173	3,4,5-trihydroxy-6-((2-(phosphonooxy)acryloyl)oxy)tetrahydro-2H-pyran-2-carboxylic acid	NA
CPD00259	3,6-Diaminohexanoate	C01142
CPD00150	3alpha,7alpha,12beta-Trihydroxy-5beta-cholanate	C04661
CPD00240	3-Butynoic acid	C06144
CPD00139	3-Chloro-alanine	C02635
CPD00141	3-Chloro-alanine_2	C02635
CPD00140	3-Chloro-alanine_3	C02635
CPD00544	3-Dehydrosphinganine	C02934
CPD00058	3-Hydorxy-3-methylglutaric acid	C03761
CPD00040	3-Hydroxybutyric acid	C01089
CPD00084	3-Hydroxypropanoic acid	C01013
CPD00083	3-Hydroxypropanoic acid_2	C01013
CPD00082	3-Hydroxypropanoic acid_3	C01013
CPD00116	3-Hydroxyvaleric acid	NA
CPD00117	3-Indolepropionic acid	NA
CPD00056	3-Methyl-2-oxopentanoate	C03465
CPD00213	3-Methylhistidine	C01152
CPD00233	3-Methyloxyindole	C02366
CPD00557	3-Oxo-5beta-Cholanoyl Glycine	NA
CPD00063	3-Phenyllactic acid	C05607
CPD00064	3-Phenylpropanoic acid	C05629
CPD00177	3-sulfooxybutanoic acid	NA
CPD00187	4-((6-carboxy-3,4,5-trihydroxytetrahydro-2H-pyran-2-yl)oxy)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylic acid	NA
CPD00183	4-(12-hydroxy-10,13-dimethyl-7-(oxidaneyl)-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)-N-(2-sulfoethyl)pentanimidic acid	NA
CPD00261	4-(2-Carboxyphenyl)-2-oxobut-3-enoate	C01275
CPD00242	4,5,7-Trihydroxyisoflavone	C06563
CPD00142	4,5-Dioxopentanoate	C02800
CPD00181	4-amino-5-Hydroxypentanoic acid	NA
CPD00263	4-Guanidinobutanal	C02647
CPD00264	4-Guanidinobutanal_2	C02647
CPD00267	4-Guanidinobutanamide	C03078
CPD00268	4-Guanidinobutanamide_2	C03078
CPD00211	4-Guanidinobutyric acid	C01035
CPD00170	4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	C20258
CPD00107	4-Hydroxymandelic acid	C11527
CPD00163	4-Hydroxymethylcatechol	C14110
CPD00292	4-Hydroxyphenylglycyl-arginine	C20910
CPD00271	4-Imidazolone-5-propanoate	C03680
CPD00272	4-Imidazolone-5-propanoate_2	C03680
CPD00273	4-Imidazolone-5-propanoate_3	C03680
CPD00284	4-Methylaminobutanal	C10974
CPD00148	4'-Phosphopantothenoyl-cysteine	C04352
CPD00035	4-Pyridoxic acid	C00847
CPD00102	4-Vinylphenol	C05627
CPD00554	5-(4-(2-carboxyethyl)-5-((3-(2-carboxyethyl)-5-((Z)-(5-hydroxy-4-methyl-3-vinyl-2H-pyrrol-2-ylidene)methyl)-4-methyl-1H-pyrrol-2-yl)methylene)-3-methylpyrrolidin-2-ylidene)-4-imino-3-methyl-2-vinylpent-2-enoic acid	NA
CPD00143	5-Acetamidopentanoate	C03087
CPD00027	5-Aminopentanoic acid	C00431
CPD00220	5-Glutamylalanine	C03740
CPD00275	5-Guanidino-2-oxopentanoate	C03771
CPD00274	5-Guanidino-2-oxopentanoate_2	C03771
CPD00161	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate	C12248
CPD00287	5-Hydroxyectoine	C16432
CPD00269	5-Methylthio-ribose	C03089
CPD00179	6-((5-(2,4-dihydroxypyrimidin-5-yl)-3-hydroxy-4-(sulfooxy)tetrahydrofuran-2-yl)methoxy)-3,4,5-trihydroxytetrahydro-2H-pyran-2-carboxylic acid	NA
CPD00174	6-((5-(6-amino-2-hydroxy-9H-purin-9-yl)-4-hydroxy-2-(hydroxymethyl)tetrahydrofuran-3-yl)oxy)-3,4,5-trihydroxytetrahydro-2H-pyran-2-carboxylic acid	NA
CPD00270	6-Amino-2-oxohexanoate	C03239
CPD00245	6-Methyladenosine	NA
CPD00246	Acetaminophen glucuronide	NA
CPD00216	Acetylcarnitine	C02571
CPD00074	Acetylglycine	NA
CPD00538	Adenosine	C00212
CPD00208	Alanylalanine	C00993
CPD00293	Alanylglutamate	C20958
CPD00357	Aldosterone	C01780
CPD00043	Allantoin	C01551
CPD00111	Allocholic Acid	C17737
CPD00086	Allose	C01487
CPD00088	Allose_2	C01487
CPD00087	Allose_3	C01487
CPD00278	alpha-D-Galactosyl-(1,1')-sn-glycerol 3-phosphate	C04703
CPD00309	alpha-Ketocaproic acid	C00902
CPD00310	alpha-Ketocaproic acid_2	C00902
