compound_id	BIOCHEMICAL
CPD000001	(12 or 13)-methylmyristate (a15:0 or i15:0)
CPD000002	(14 or 15)-methylpalmitate (a17:0 or i17:0)
CPD000003	(16 or 17)-methylstearate (a19:0 or i19:0)
CPD000004	(2 or 3)-decenoate (10:1n7 or n8)
CPD000005	(N(1) + N(8))-acetylspermidine
CPD000006	(R)-3-hydroxybutyrylcarnitine
CPD000007	(S)-3-hydroxybutyrylcarnitine
CPD000008	1,2,3-benzenetriol sulfate (2)
CPD000009	1,2-dilinoleoyl-GPC (18:2/18:2)
CPD000010	1,2-dipalmitoyl-GPC (16:0/16:0)
CPD000011	1,3,7-trimethylurate
CPD000012	1,3-dimethylurate
CPD000013	1,5-anhydroglucitol (1,5-AG)
CPD000014	1,6-anhydroglucose
CPD000015	1,7-dimethylurate
CPD000016	1-(1-enyl-oleoyl)-GPE (P-18:1)*
CPD000017	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*
CPD000018	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*
CPD000019	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*
CPD000020	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*
CPD000021	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*
CPD000022	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*
CPD000023	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*
CPD000024	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*
CPD000025	1-(1-enyl-palmitoyl)-GPC (P-16:0)*
CPD000026	1-(1-enyl-palmitoyl)-GPE (P-16:0)*
CPD000027	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*
CPD000028	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*
CPD000029	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)
CPD000030	1-(1-enyl-stearoyl)-GPE (P-18:0)*
CPD000031	1-arachidonoyl-GPC* (20:4)*
CPD000032	1-arachidonoyl-GPE (20:4n6)*
CPD000033	1-arachidonoyl-GPI* (20:4)*
CPD000034	1-arachidonylglycerol (20:4)
CPD000035	1-carboxyethylleucine
CPD000036	1-carboxyethylphenylalanine
CPD000037	1-carboxyethylvaline
CPD000038	1-cerotoyl-GPC (26:0)*
CPD000039	1-dihomo-linolenylglycerol (20:3)
CPD000040	1-hydroxy-2-naphthalenecarboxylate
CPD000041	1-lignoceroyl-GPC (24:0)
CPD000042	1-linolenoyl-GPC (18:3)*
CPD000043	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*
CPD000044	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*
CPD000045	1-linoleoyl-GPA (18:2)*
CPD000046	1-linoleoyl-GPC (18:2)
CPD000047	1-linoleoyl-GPE (18:2)*
CPD000048	1-linoleoyl-GPG (18:2)*
CPD000049	1-linoleoyl-GPI* (18:2)*
CPD000050	1-linoleoylglycerol (18:2)
CPD000051	1-methyl-4-imidazoleacetate
CPD000052	1-methyl-5-imidazoleacetate
CPD000053	1-methylguanidine
CPD000054	1-methylhistidine
CPD000055	1-methylnicotinamide
