compound_id	BIOCHEMICAL	PLATFORM	CHEMICAL ID	RI	MASS	PUBCHEM	CAS	KEGG
CPD000001	(12 or 13)-methylmyristate (a15:0 or i15:0)	LC/MS Neg	100002344	5499	241.2173	151014	2485-71-4	
CPD000002	(14 or 15)-methylpalmitate (a17:0 or i17:0)	LC/MS Neg	100002945	5695	269.2487			
CPD000003	(16 or 17)-methylstearate (a19:0 or i19:0)	LC/MS Neg	100002356	5993	297.2799	3083779	2724-59-6	
CPD000004	(2 or 3)-decenoate (10:1n7 or n8)	LC/MS Neg	100021502	4990	169.1234			
CPD000005	(2,4 or 2,5)-dimethylphenol sulfate	LC/MS Neg	100020519	3474	201.0227			
CPD000006	(2-butoxyethoxy)acetic acid	LC/MS Pos Early	100021457	3177	177.1121	106312		
CPD000007	(N(1) + N(8))-acetylspermidine	LC/MS Pos Early	100016038	3080	188.1757			
CPD000008	(R)-3-hydroxybutyrylcarnitine	LC/MS Pos Early	100003926	2400	248.1493	53481617		
CPD000009	(S)-3-hydroxybutyrylcarnitine	LC/MS Pos Early	100009271	2340	248.1493			
CPD000010	(S)-a-amino-omega-caprolactam	LC/MS Pos Early	100021329	2378	129.1022	439823	21568-87-6	C05328
CPD000011	1,2,3-benzenetriol sulfate (2)	LC/MS Neg	100006374	1709	204.9812			
CPD000012	1,3,7-trimethylurate	LC/MS Neg	100001397	1985	209.068	79437	5415-44-1	C16361
CPD000013	1,3-dimethylurate	LC/MS Neg	100001106	1671.4	195.0524	70346	944-73-0	
CPD000014	1,5-anhydroglucitol (1,5-AG)	LC/MS Neg	100000580	802	163.0612	64960	154-58-5	C07326
CPD000015	1,7-dimethylurate	LC/MS Neg	100001399	1578.6	195.0524	91611	33868-03-0	C16356
CPD000016	1-carboxyethylisoleucine	LC/MS Neg	100020427	2628	202.1085			
CPD000017	1-carboxyethylleucine	LC/MS Neg	100020425	2663	202.1085			
CPD000018	1-carboxyethylphenylalanine	LC/MS Neg	100020419	2844	236.0928			
CPD000019	1-carboxyethyltyrosine	LC/MS Neg	100020421	1846	252.0877			
CPD000020	1-carboxyethylvaline	LC/MS Neg	100020423	2008	188.0928			
CPD000021	1-linoleoyl-GPA (18:2)*	LC/MS Polar	100009082	1441	433.2361			
CPD000022	1-linoleoyl-GPG (18:2)*	LC/MS Neg	100009227	5516	507.2728			
CPD000023	1-methyl-4-imidazoleacetate	LC/MS Pos Early	100001208	2064	141.0659	75810	2625-49-2	C05828
CPD000024	1-methyl-5-imidazoleacetate	LC/MS Pos Early	100002910	1989	141.0659	6451814	4200-48-0	
CPD000025	1-methylhistidine	LC/MS Pos Early	100001051	2755	170.0924	92105	332-80-9	C01152
CPD000026	1-methylnicotinamide	LC/MS Pos Early	55	1940	137.0709	457	1005-24-9	C02918
CPD000027	1-methylurate	LC/MS Polar	100001400	1900	181.0367	69726	708-79-2	C16359
CPD000028	1-methylxanthine	LC/MS Neg	100001405	1568.8	165.0418	80220	6136-37-4	C16358
CPD000029	1-oleoyl-GPG (18:1)*	LC/MS Neg	100005716	5610	509.2885			
CPD000030	1-palmitoyl-GPG (16:0)*	LC/MS Neg	100005717	5570	483.2728	3300276		
CPD000031	1-ribosyl-imidazoleacetate*	LC/MS Pos Early	100001668	2006	259.0925	5117448	29605-99-0	C05131
CPD000032	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	LC/MS Pos Late	100001872	2565	812.5436			
CPD000033	1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*	LC/MS Pos Late	100001873	2407	836.5436		474943-18-5	
CPD000034	1-stearoyl-GPG (18:0)	LC/MS Neg	100001462	5816	511.3041			
CPD000035	10-heptadecenoate (17:1n7)	LC/MS Neg	100001278	5555	267.233	5312435	29743-97-3	
CPD000036	10-hydroxywarfarin	LC/MS Neg	100020811	3910	323.0925			
CPD000037	10-nonadecenoate (19:1n9)	LC/MS Neg	100001277	5780	295.2643	5312513	73033-09-7	
CPD000038	10-undecenoate (11:1n1)	LC/MS Neg	100001197	5085.8	183.1391	14891	1333-28-4	C13910
CPD000039	11-ketoetiocholanolone glucuronide	LC/MS Neg	100005402	4280	479.2287		17181-16-7	
CPD000040	11beta-hydroxyandrosterone glucuronide	LC/MS Neg	100020541	4209	481.2443			
CPD000041	12,13-DiHOME	LC/MS Neg	62	5137	313.2384	10236635	263399-35-5	C14829
CPD000042	13-HODE + 9-HODE	LC/MS Neg	100002196	5275	295.2283			
CPD000043	16-hydroxypalmitate	LC/MS Neg	100002953	5236.2	271.2279	10466	506-13-8	C18218
CPD000044	16a-hydroxy DHEA 3-sulfate	LC/MS Neg	100002126	4240	383.1534			
CPD000045	17alpha-hydroxypregnanolone glucuronide	LC/MS Neg	100005418	5071.9	509.2756			
CPD000046	1H-indole-7-acetic acid	LC/MS Polar	100004601	922	174.0561		39689-63-9	
CPD000047	2'-deoxyuridine	LC/MS Polar	536	1100	273.0728	13712	951-78-0	C00526
CPD000048	2'-O-methylcytidine	LC/MS Pos Early	100010895	2411	258.1085	150971	2140-72-9	
CPD000049	2'-O-methyluridine	LC/MS Neg	100010896	1831	257.0779	102212	2140-76-3	
CPD000050	2,3-dihydroxy-2-methylbutyrate	LC/MS Polar	100010869	1318	133.0506	301941	14868-24-7	
CPD000051	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	LC/MS Neg	100020893	1156	177.0227			
CPD000052	2,3-dihydroxyisovalerate	LC/MS Polar	100002417	1050	133.0506	677	1756-18-9	C04039
CPD000053	2,3-dihydroxypyridine	LC/MS Pos Early	100000861	1420	112.0393	28115	16867-04-2	
