compound_id	BIOCHEMICAL	PATHWAY SORTORDER	SUPER_PATHWAY	SUB_PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
CPD000001	1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*	2349	Lipid	Phosphatidylethanolamine (PE)	53209	LC/MS Polar	100009220	750	788.5236				
CPD000002	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	2433	Lipid	Phosphatidylinositol (PI)	52450	LC/MS Polar	1528	910	833.5185				HMDB09784
CPD000003	2,3-dihydroxyisovalerate	4584	Xenobiotics	Food Component/Plant	38276	LC/MS Polar	100002417	1050	133.0506	677	1756-18-9	C04039	HMDB12141
CPD000004	2-hydroxy-4-(methylthio)butanoic acid	405	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	63739	LC/MS Polar	100021372	1065	149.0278		583-91-5		
CPD000005	2-hydroxybutyrate/2-hydroxyisobutyrate	537	Amino Acid	Glutathione Metabolism	52281	LC/MS Polar	100008928	1258	103.0401				
CPD000006	2-hydroxyphenylacetate	150	Amino Acid	Phenylalanine Metabolism	1432	LC/MS Polar	235	858.6	151.0401	11970	614-75-5	C05852	HMDB00669
CPD000007	2-isopropylmalate	4592	Xenobiotics	Food Component/Plant	15667	LC/MS Polar	100000409	2605	175.0612	77	3237-44-3	C02504	HMDB00402
CPD000008	2-keto-3-deoxy-glucote	4930	Xenobiotics	Food Component/Plant	48141	LC/MS Polar	100005946	1900	177.0405	161227	17510-99-5	C00204	HMDB01353
CPD000009	2-O-methylascorbic acid	4207	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	63990	LC/MS Polar	100003258	1512	189.0405	99779	17860-87-6		
CPD000010	2R,3R-dihydroxybutyrate	1951	Lipid	Fatty Acid, Dihydroxy	63109	LC/MS Polar	100002367	1543	119.035	13120901	759-06-8		HMDB00498
CPD000011	2S,3R-dihydroxybutyrate	1950	Lipid	Fatty Acid, Dihydroxy	62950	LC/MS Polar	100002284	1660	119.035	10964471	5057-93-2		HMDB02453
CPD000012	3,4-dihydroxybutyrate	1954	Lipid	Fatty Acid, Dihydroxy	62952	LC/MS Polar	100001730	2204	119.035		51267-44-8		
CPD000013	3,4-dihydroxyphenylacetate sulfate	222	Amino Acid	Tyrosine Metabolism	48736	LC/MS Polar	100006254	1488	246.9918	193283	38339-04-7		
CPD000014	3-hydroxy-3-methylglutarate	3060	Lipid	Mevalote Metabolism	531	LC/MS Polar	112	2850	161.0456	1662	503-49-1	C03761	HMDB00355
CPD000015	3-hydroxyadipate*	1599	Lipid	Fatty Acid, Dicarboxylate	62069	LC/MS Polar	100004396	3131	161.0455	151913			HMDB00345
CPD000016	3-hydroxybutyrate (BHBA)	1856	Lipid	Ketone Bodies	542	LC/MS Polar	254	1480	103.0401	441	625-72-9	C01089	HMDB00357
CPD000017	3-hydroxyhexanoate	1896	Lipid	Fatty Acid, Monohydroxy	53230	LC/MS Polar	100006367	1082	131.0714	151492	10191-24-9		
CPD000018	3-hydroxyisobutyrate	384	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1549	LC/MS Polar	111	1619	103.0401	87	2068-83-9	C06001	HMDB00336
CPD000019	3-methyladipate	1600	Lipid	Fatty Acid, Dicarboxylate	36749	LC/MS Polar	100001765	2865	159.0663	12292	422955		HMDB00555
CPD000020	3-methylglutacote	331	Amino Acid	Leucine, Isoleucine and Valine Metabolism	57747	LC/MS Polar	100002458	2700	99.0452	1551553	5746-90-7		HMDB00522
CPD000021	3-methylglutarate/2-methylglutarate	1593	Lipid	Fatty Acid, Dicarboxylate	54676	LC/MS Polar	100010834	2832	145.0506				
CPD000022	3-ureidoisobutyrate	4101	Nucleotide	Pyrimidine Metabolism, Uracil containing	57549	LC/MS Polar	100001531	1910	145.0619	160663	2905-86-4	C05100	HMDB02031
