compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD0001	1,2,3-benzenetriol sulfate (2)	NA	NA
CPD0002	1,3,7-trimethylurate	C16361	79437
CPD0003	1,3-dimethylurate	NA	70346
CPD0004	1,5-anhydroglucitol (1,5-AG)	C07326	64960
CPD0005	1,7-dimethylurate	C16356	91611
CPD0006	1-arachidonylglycerol (20:4)	C13857	5282281
CPD0007	1-dihomo-linolenylglycerol (20:3)	NA	NA
CPD0008	1-docosahexaenoylglycerol (22:6)	NA	NA
CPD0009	1-hydroxy-2-naphthalenecarboxylate	C03203	6844
CPD0010	1-linolenoylglycerol (18:3)	NA	53480978
CPD0011	1-linoleoylglycerol (18:2)	NA	5283469
CPD0012	1-methylguanidine	C02294	10111
CPD0013	1-methylhistidine	C01152	92105
CPD0014	1-methylimidazoleacetate	C05828	75810
CPD0015	1-methylnicotinamide	C02918	10129985
CPD0016	1-methylurate	C16359	69726
CPD0017	1-methylxanthine	C16358	80220
CPD0018	11-ketoetiocholanolone glucuronide	NA	NA
CPD0019	12,13-DiHOME	C14829	10236635
CPD0020	13-HODE + 9-HODE	NA	43013
CPD0021	15-methylpalmitate	NA	17903417
CPD0022	16-hydroxypalmitate	C18218	10466
CPD0023	16a-hydroxy DHEA 3-sulfate	NA	NA
CPD0024	17-methylstearate	NA	3083779
CPD0025	17alpha-hydroxypregnenolone 3-sulfate	NA	152971
CPD0027	2'-O-methylcytidine	NA	150971
CPD0028	2'-O-methyluridine	NA	102212
CPD0026	2'-deoxyuridine	C00526	13712
CPD0029	2,3-dihydroxy-2-methylbutyrate	NA	301941
CPD0030	2,3-dihydroxyisovalerate	C04039	677
CPD0031	2-acetamidophenol sulfate	NA	181671
CPD0032	2-aminoadipate	C00956	469
CPD0033	2-aminobutyrate	C02261	439691
CPD0034	2-aminoheptanoate	NA	227939
CPD0035	2-aminooctanoate	NA	69522
CPD0036	2-aminophenol sulfate	NA	181670
CPD0037	2-hydroxy-3-methylvalerate	NA	164623
CPD0038	2-hydroxyacetaminophen sulfate*	NA	86290013
CPD0039	2-hydroxybutyrate/2-hydroxyisobutyrate	NA	NA
CPD0040	2-hydroxydecanoate	NA	21488
CPD0041	2-hydroxyglutarate	C02630	43
CPD0042	2-hydroxyhippurate (salicylurate)	C07588	10253
CPD0043	2-hydroxyibuprofen	NA	10443535
CPD0044	2-hydroxyoctanoate	NA	94180
CPD0045	2-hydroxypalmitate	NA	92836
CPD0046	2-hydroxyphenylacetate	C05852	11970
CPD0047	2-isopropylmalate	C02504	77
CPD0048	2-keto-3-deoxy-gluconate	C00204	161227
CPD0049	2-linoleoylglycerol (18:2)	NA	5365676
