compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD00001	(15:0)-anacardic acid	C10759	167551
CPD00002	(15:2)-anacardic acid	NA	11824131
CPD00003	1,2,3-benzenetriol sulfate (2)	NA	NA
CPD00004	1,2-dilinoleoyl-GPC (18:2/18:2)	NA	5288075
CPD00005	1,2-dilinoleoyl-GPE (18:2/18:2)*	NA	9546812
CPD00006	1,2-dipalmitoyl-GPC (16:0/16:0)	NA	452110
CPD00007	1,2-dipalmitoyl-GPE (16:0/16:0)*	NA	445468
CPD00008	1,3,7-trimethylurate	C16361	79437
CPD00009	1,3-dimethylurate	NA	70346
CPD00010	1,5-anhydroglucitol (1,5-AG)	C07326	64960
CPD00011	1,7-dimethylurate	C16356	91611
CPD00012	1-(1-enyl-oleoyl)-GPE (P-18:1)*	NA	NA
CPD00013	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	NA	NA
CPD00014	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	NA	NA
CPD00015	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	NA	NA
CPD00016	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	NA	NA
CPD00017	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	NA	NA
CPD00018	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	NA	NA
CPD00019	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	NA	NA
CPD00020	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	NA	11146967
CPD00021	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	NA	10917802
CPD00022	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	NA	NA
CPD00023	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	NA	9547058
CPD00024	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	NA	NA
CPD00025	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	NA	NA
CPD00026	1-(1-enyl-stearoyl)-GPE (P-18:0)*	NA	NA
CPD00027	1-arachidonoyl-GPC (20:4n6)*	C05208	NA
CPD00028	1-arachidonoyl-GPE (20:4n6)*	NA	42607465
CPD00029	1-arachidonoyl-GPI (20:4)*	NA	NA
CPD00030	1-arachidonylglycerol (20:4)	C13857	5282281
CPD00031	1-cerotoyl-GPC (26:0)*	NA	NA
CPD00032	1-docosahexaenoylglycerol (22:6)	NA	NA
CPD00033	1-lignoceroyl-GPC (24:0)	NA	NA
CPD00034	1-linolenoyl-GPC (18:3)*	NA	NA
CPD00035	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	NA	NA
CPD00036	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	NA	NA
CPD00037	1-linoleoyl-GPA (18:2)*	NA	NA
CPD00038	1-linoleoyl-GPC (18:2)	C04100	11988421
CPD00039	1-linoleoyl-GPE (18:2)*	NA	52925130
CPD00040	1-linoleoyl-GPG (18:2)*	NA	NA
CPD00041	1-linoleoyl-GPI (18:2)*	NA	NA
CPD00042	1-linoleoylglycerol (18:2)	NA	5283469
CPD00043	1-methyl-4-imidazoleacetate	C05828	75810
CPD00044	1-methylguanidine	C02294	10111
CPD00045	1-methylhistidine	C01152	92105
CPD00046	1-methylnicotinamide	C02918	10129985
CPD00047	1-methylurate	C16359	69726
CPD00048	1-methylxanthine	C16358	80220
CPD00049	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	NA	NA
CPD00050	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	NA	129657
CPD00051	1-myristoylglycerol (14:0)	C01885	79050
CPD00052	1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*	NA	NA
CPD00053	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	NA	NA
CPD00054	1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*	NA	NA
CPD00055	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	NA	9546753
CPD00056	1-oleoyl-GPC (18:1)	NA	16081932
CPD00057	1-oleoyl-GPE (18:1)	NA	9547071
CPD00058	1-oleoyl-GPG (18:1)*	NA	NA
CPD00059	1-oleoyl-GPI (18:1)*	NA	NA
CPD00060	1-oleoylglycerol (18:1)	NA	5283468
CPD00061	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	NA	NA
CPD00062	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*	NA	NA
CPD00063	1-palmitoleoyl-GPC (16:1)*	NA	24779461
CPD00064	1-palmitoleoylglycerol (16:1)*	NA	NA
CPD00065	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	NA	10747814
CPD00066	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	NA	9546800
CPD00067	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	NA	NA
CPD00068	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	NA	6441886
CPD00069	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	NA	9546799
CPD00070	1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*	NA	NA
CPD00071	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	NA	5287971
CPD00072	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	NA	9546747
CPD00073	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	NA	NA
CPD00074	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	NA	6436017
CPD00075	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	NA	5283496
CPD00076	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	NA	NA
CPD00077	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	NA	NA
CPD00078	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	NA	NA
CPD00079	1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*	NA	5326793
CPD00080	1-palmitoyl-GPC (16:0)	NA	86554
CPD00081	1-palmitoyl-GPE (16:0)	NA	9547069
CPD00082	1-palmitoyl-GPG (16:0)*	NA	3300276
CPD00083	1-palmitoyl-GPI (16:0)	NA	NA
CPD00084	1-palmitoylglycerol (16:0)	NA	14900
CPD00085	1-ribosyl-imidazoleacetate*	C05131	5117448
CPD00086	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	NA	16219824
CPD00087	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	NA	5289133
CPD00088	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	NA	NA
CPD00089	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	NA	NA
CPD00090	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	NA	9546798
CPD00091	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	NA	NA
CPD00092	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	NA	9546749
CPD00093	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	NA	NA
