compound_id	BIOCHEMICAL	FORMULA	METHOD
CPD00001	methylprednisolone	C22H30O5	Method 4
CPD00002	pyruvate	C3H4O3	Method 4
CPD00003	lactate	C3H6O3	Method 4
CPD00004	3-methylglutaconate	C6H8O4	Method 4
CPD00005	alpha-ketobutyrate	C4H6O3	Method 4
CPD00006	malonate	C3H4O4	Method 4
CPD00007	2-hydroxybutyrate/2-hydroxyisobutyrate	C7H3N2O2S2	Method 4
CPD00008	3-hydroxybutyrate (BHBA)	C4H8O3	Method 4
CPD00009	3-hydroxyisobutyrate	C4H8O3	Method 4
CPD00010	glycerate	C3H6O4	Method 4
CPD00011	uracil	C4H4N2O2	Method 4
CPD00012	fumarate	C4H4O4	Method 4
CPD00013	maleate	C4H4O4	Method 4
CPD00014	succinimide	C4H5NO2	Method 4
CPD00015	methylmalonate (MMA)	C4H6O4	Method 4
CPD00016	alpha-hydroxyisovalerate	C5H10O3	Method 4
CPD00017	allo-threonine	C4H9NO3	Method 4
CPD00018	guanidinoacetate	C3H7N3O2	Method 4
CPD00019	2R,3R-dihydroxybutyrate	C4H8O4	Method 4
CPD00020	2S,3R-dihydroxybutyrate	C4H8O4	Method 4
CPD00021	3,4-dihydroxybutyrate	C4H8O4	Method 4
CPD00022	N-acetylalanine	C5H9NO3	Method 4
CPD00023	ethylmalonate	C5H8O4	Method 4
CPD00024	glutarate (C5-DC)	C5H8O4	Method 4
CPD00025	methylsuccinate	C5H8O4	Method 4
CPD00026	2,3-dihydroxyisovalerate	C5H10O4	Method 4
CPD00027	3-ureidopropionate	C4H8N2O3	Method 4
CPD00028	erythronate*	C4H8O5	Method 4
CPD00029	threonate	C4H8O5	Method 4
CPD00030	salicylate	C7H6O3	Method 4
CPD00031	alpha-ketoglutaramate*	C5H7NO4	Method 4
CPD00032	alpha-ketoglutarate	C5H6O5	Method 4
CPD00033	3-methylglutarate/2-methylglutarate	C6H10O4	Method 4
CPD00034	adipate (C6-DC)	C6H10O4	Method 4
CPD00035	N-oxalyl glycine (NOG)	C4H5NO5	Method 4
CPD00036	2-hydroxyglutarate	C5H8O5	Method 4
CPD00037	N-acetylserine	C5H9NO4	Method 4
CPD00038	xanthine	C5H4N4O2	Method 4
CPD00039	oxypurinol	C5H4N4O2	Method 4
CPD00040	2-hydroxyphenylacetate	C8H8O3	Method 4
CPD00041	ribitol	C5H12O5	Method 4
CPD00042	arabitol/xylitol	C5H12O5	Method 4
CPD00043	orotate	C5H4N2O4	Method 4
CPD00044	dihydroorotate	C5H6N2O4	Method 4
CPD00045	allantoin	C4H6N4O3	Method 4
CPD00046	heptenedioate (C7:1-DC)*	C7H10O4	Method 4
CPD00047	2-aminoadipate	C6H11NO4	Method 4
CPD00048	O-acetylhomoserine	C6H11NO4	Method 4
CPD00049	4-hydroxy-2-oxoglutaric acid	C5H6O6	Method 4
CPD00050	3-hydroxyadipate*	C6H10O5	Method 4
CPD00051	2-hydroxyadipate	C6H10O5	Method 4
CPD00052	3-hydroxy-3-methylglutarate	C6H10O5	Method 4
CPD00053	arabonate/xylonate	C23H29NO2	Method 4
CPD00054	ribonate	C5H10O6	Method 4
CPD00055	ribulonate/xylulonate/lyxonate*		Method 4
CPD00056	N-acetyltaurine	C4H9NO4S	Method 4
CPD00057	erythritol	C4H10O4	Method 4
CPD00058	hydantoin-5-propionate	C6H8N2O4	Method 4
CPD00059	isocitric lactone	C6H6O6	Method 4
CPD00060	N-acetylaspartate (NAA)	C6H9NO5	Method 4
CPD00061	N-carbamoylaspartate	C5H8N2O5	Method 4
CPD00062	2-isopropylmalate	C7H12O5	Method 4
CPD00063	N-acetylasparagine	C6H10N2O4	Method 4
CPD00064	valylglycine	C7H14N2O3	Method 4
CPD00065	2-keto-3-deoxy-gluconate	C6H10O6	Method 4
CPD00066	mannitol/sorbitol	C6H14O6	Method 4
CPD00067	N-acetylglutamine	C7H12N2O4	Method 4
CPD00068	N-acetylglutamate	C7H11NO5	Method 4
CPD00069	quinate	C7H12O6	Method 4
CPD00070	glucuronate	C6H10O7	Method 4
CPD00071	mannonate*	C6H12O7	Method 4
CPD00072	galactonate	C6H12O7	Method 4
CPD00073	xylose	C5H10O5	Method 4
CPD00074	5-acetylamino-6-amino-3-methyluracil	C7H10N4O3	Method 4
CPD00075	arabinose	C5H10O5	Method 4
CPD00076	chiro-inositol	C6H12O6	Method 4
CPD00077	fructose	C6H12O6	Method 4
CPD00078	glucose	C6H12O6	Method 4
CPD00079	mannose	C6H12O6	Method 4
CPD00080	myo-inositol	C6H12O6	Method 4
CPD00081	ethyl alpha-glucopyranoside	C8H16O6	Method 4
CPD00082	ergothioneine	C9H15N3O2S	Method 4
CPD00083	glycerophosphoglycerol	C6H15O8P	Method 4
CPD00084	phenylacetylglutamate	C13H15NO5	Method 4
CPD00085	N-acetylcarnosine	C11H16N4O4	Method 4
CPD00086	orotidine	C10H12N2O8	Method 4
CPD00087	N-acetylneuraminate	C11H19NO9	Method 4
CPD00088	glycerophosphoinositol*	C9H19O11P	Method 4
CPD00089	maltose	C12H22O11	Method 4
CPD00090	sucrose	C12H22O11	Method 4
CPD00091	gluconate		Method 4
CPD00092	gulonate*		Method 4
CPD00093	pentoic acid*		Method 4
CPD00094	(14 or 15)-methylpalmitate (a17:0 or i17:0)		Method 3
CPD00095	(16 or 17)-methylstearate (a19:0 or i19:0)	C19H38O2	Method 3
CPD00096	1,5-anhydroglucitol (1,5-AG)	C6H12O5	Method 3
CPD00097	1-carboxyethylisoleucine	C9H17NO4	Method 3
CPD00098	1-carboxyethylleucine	C9H17NO4	Method 3
CPD00099	1-carboxyethylphenylalanine	C12H15NO4	Method 3
CPD00100	1-carboxyethylvaline	C8H15NO4	Method 3
CPD00101	1-linoleoyl-GPA (18:2)*	C21H24N2	Method 3
CPD00102	1-methylhistidine	C7H11N3O2	Method 3
