compound_id	chemical_name	analysismode	mz	rt
C000001	314.2320327_0.486966667	RP_POS	314.2320327	0.486966667
C000002	310.2007748_0.486966667	RP_POS	310.2007748	0.486966667
C000003	422.3258347_0.654983333	RP_POS	422.3258347	0.654983333
C000004	564.3054346_0.664433333	RP_POS	564.3054346	0.664433333
C000005	492.3078934_0.692816667	RP_POS	492.3078934	0.692816667
C000006	540.3056814_0.70225	RP_POS	540.3056814	0.70225
C000007	398.3254646_0.721083333	RP_POS	398.3254646	0.721083333
C000008	448.341318_0.730483333	RP_POS	448.341318	0.730483333
C000009	568.3386517_0.739866667	RP_POS	568.3386517	0.739866667
C000010	468.3077161_0.74925	RP_POS	468.3077161	0.74925
C000011	424.3411914_0.7586	RP_POS	424.3411914	0.7586
C000012	494.3233343_0.77725	RP_POS	494.3233343	0.77725
C000013	566.3205883_0.786583333	RP_POS	566.3205883	0.786583333
C000014	570.3540443_0.8145	RP_POS	570.3540443	0.8145
C000015	502.2921525_0.823816667	RP_POS	502.2921525	0.823816667
C000016	520.3390023_0.823816667	RP_POS	520.3390023	0.823816667
C000017	450.356874_0.833116667	RP_POS	450.356874	0.833116667
C000018	528.3067401_0.842416667	RP_POS	528.3067401	0.842416667
C000019	380.255128_0.851733333	RP_POS	380.255128	0.851733333
C000020	500.2741969_0.86105	RP_POS	500.2741969	0.86105
C000021	482.3233295_0.86105	RP_POS	482.3233295	0.86105
C000022	530.3205973_0.89845	RP_POS	530.3205973	0.89845
C000023	546.3543666_0.89845	RP_POS	546.3543666	0.89845
C000024	508.3390672_0.89845	RP_POS	508.3390672	0.89845
C000025	400.3413113_0.9172	RP_POS	400.3413113	0.9172
C000026	480.3442356_0.926583333	RP_POS	480.3442356	0.926583333
C000027	382.2707994_0.945266667	RP_POS	382.2707994	0.945266667
C000028	506.3591411_0.9546	RP_POS	506.3591411	0.9546
C000029	426.3568413_0.9546	RP_POS	426.3568413	0.9546
C000030	572.3698063_0.991866667	RP_POS	572.3698063	0.991866667
C000031	352.3201222_0.991866667	RP_POS	352.3201222	0.991866667
C000032	452.3724968_1.001166667	RP_POS	452.3724968	1.001166667
C000033	478.3286965_1.029066667	RP_POS	478.3286965	1.029066667
C000034	496.3389337_1.029066667	RP_POS	496.3389337	1.029066667
C000035	504.3422821_1.066266667	RP_POS	504.3422821	1.066266667
C000036	544.3362565_1.094183333	RP_POS	544.3362565	1.094183333
C000037	546.3424167_1.1035	RP_POS	546.3424167	1.1035
C000038	414.3569093_1.112833333	RP_POS	414.3569093	1.112833333
C000039	548.3698251_1.131516667	RP_POS	548.3698251	1.131516667
C000040	570.3519368_1.140883333	RP_POS	570.3519368	1.140883333
C000041	542.3209892_1.16905	RP_POS	542.3209892	1.16905
C000042	480.3442755_1.16905	RP_POS	480.3442755	1.16905
C000043	506.3602572_1.206833333	RP_POS	506.3602572	1.206833333
C000044	482.3598292_1.2353	RP_POS	482.3598292	1.2353
C000045	510.3548787_1.244766667	RP_POS	510.3548787	1.244766667
C000046	583.323473_1.244766667	RP_POS	583.323473	1.244766667
C000047	574.3859184_1.254233333	RP_POS	574.3859184	1.254233333
C000048	530.3573312_1.263716667	RP_POS	530.3573312	1.263716667
C000049	508.3758155_1.273183333	RP_POS	508.3758155	1.273183333
C000050	536.3702281_1.282683333	RP_POS	536.3702281	1.282683333
C000051	526.313131_1.292183333	RP_POS	526.313131	1.292183333
C000052	376.3179598_1.349616667	RP_POS	376.3179598	1.349616667
C000053	428.3728302_1.349616667	RP_POS	428.3728302	1.349616667
C000054	454.3883877_1.378316667	RP_POS	454.3883877	1.378316667
C000055	524.3704138_1.538383333	RP_POS	524.3704138	1.538383333
C000056	572.367252_1.557	RP_POS	572.367252	1.557
C000057	550.3853482_1.566316667	RP_POS	550.3853482	1.566316667
C000058	686.5730744_1.613166667	RP_POS	686.5730744	1.613166667
C000059	482.3235359_1.622616667	RP_POS	482.3235359	1.622616667
C000060	691.5283061_1.622616667	RP_POS	691.5283061	1.622616667
C000061	504.3054975_1.6321	RP_POS	504.3054975	1.6321
C000062	508.3757741_1.766283333	RP_POS	508.3757741	1.766283333
C000063	510.3913962_1.86355	RP_POS	510.3913962	1.86355
C000064	536.4069397_1.882883333	RP_POS	536.4069397	1.882883333
C000065	538.386207_1.892583333	RP_POS	538.386207	1.892583333
C000066	575.4662379_2.125116667	RP_POS	575.4662379	2.125116667
C000067	574.3835734_2.238483333	RP_POS	574.3835734	2.238483333
C000068	552.4017684_2.305083333	RP_POS	552.4017684	2.305083333
C000069	742.6358897_2.409116667	RP_POS	742.6358897	2.409116667
C000070	359.3148405_2.409116667	RP_POS	359.3148405	2.409116667
C000071	595.49241_2.437433333	RP_POS	595.49241	2.437433333
C000072	577.4818421_2.437433333	RP_POS	577.4818421	2.437433333
C000073	575.4662041_2.446883333	RP_POS	575.4662041	2.446883333
C000074	593.4764388_2.446883333	RP_POS	593.4764388	2.446883333
C000075	538.4226234_2.66735	RP_POS	538.4226234	2.66735
C000076	510.4511127_2.762833333	RP_POS	510.4511127	2.762833333
C000077	484.4353985_2.781866667	RP_POS	484.4353985	2.781866667
C000078	642.5657435_2.8969	RP_POS	642.5657435	2.8969
C000079	575.4661753_2.915883333	RP_POS	575.4661753	2.915883333
C000080	617.4744098_2.925366667	RP_POS	617.4744098	2.925366667
