compound_id	chemical_name	analysismode	mz	rt	BIOCHEMICAL
C000001	1-(1-enyl-oleoyl)-GPE (P-18:1)	RP_POS	464.3136	1566	1-(1-enyl-oleoyl)-GPE (P-18:1)
C000002	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)	RP_POS	766.5745	2154	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)
C000003	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)	RP_POS	724.5276	2270	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)
C000004	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)	RP_POS	742.5745	2226	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)
C000005	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)	RP_POS	700.5276	2351	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)
C000006	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)	RP_POS	744.5902	2443	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)
C000007	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)	RP_POS	702.5432	2600	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)
C000008	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)	RP_POS	716.5589	2218	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)
C000009	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)	RP_POS	718.5745	2454	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)
C000010	1-(1-enyl-palmitoyl)-GPC (P-16:0)	RP_POS	480.3449	1547	1-(1-enyl-palmitoyl)-GPC (P-16:0)
C000011	1-(1-enyl-palmitoyl)-GPE (P-16:0)	RP_POS	438.2979	1558	1-(1-enyl-palmitoyl)-GPE (P-16:0)
C000012	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)	RP_POS	752.5589	2511	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)
C000013	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)	RP_POS	728.5589	2633	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)
C000014	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	RP_POS	730.5745	2950	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)
C000015	1-(1-enyl-stearoyl)-GPE (P-18:0)	RP_POS	466.3292	1649	1-(1-enyl-stearoyl)-GPE (P-18:0)
C000016	1-arachidonoyl-GPC (20:4n6)	RP_POS	544.3398	1460	1-arachidonoyl-GPC (20:4n6)
C000017	1-arachidonoyl-GPE (20:4n6)	RP_POS	502.2928	1470	1-arachidonoyl-GPE (20:4n6)
C000018	1-arachidonylglycerol (20:4)	RP_POS	396.3108	1568	1-arachidonylglycerol (20:4)
C000019	1-docosahexaenoylglycerol (22:6)	RP_POS	420.3108	1542	1-docosahexaenoylglycerol (22:6)
C000020	1-lignoceroyl-GPC (24:0)	RP_POS	608.465	1907	1-lignoceroyl-GPC (24:0)
C000021	1-linolenoyl-GPC (18:3)	RP_POS	518.3241	1410	1-linolenoyl-GPC (18:3)
C000022	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)	RP_POS	806.5694	1969	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)
C000023	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)	RP_POS	780.5538	1939	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)
C000024	1-linoleoyl-GPC (18:2)	RP_POS	520.3398	1465	1-linoleoyl-GPC (18:2)
C000025	1-linoleoyl-GPE (18:2)	RP_POS	478.2928	1482	1-linoleoyl-GPE (18:2)
C000026	1-linoleoylglycerol (18:2)	RP_POS	372.3108	1595	1-linoleoylglycerol (18:2)
C000027	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)	RP_POS	754.5381	1914	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)
C000028	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	RP_POS	706.5381	2147	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)
C000029	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)	RP_POS	832.5851	2011	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)
C000030	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)	RP_POS	742.5381	2270	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)
C000031	1-oleoyl-GPC (18:1)	RP_POS	522.3554	1540	1-oleoyl-GPC (18:1)
C000032	1-oleoyl-GPE (18:1)	RP_POS	480.3085	1554	1-oleoyl-GPE (18:1)
C000033	1-oleoylglycerol (18:1)	RP_POS	374.3265	1695	1-oleoylglycerol (18:1)
C000034	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)	RP_POS	754.5381	1850	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)
C000035	1-palmitoleoyl-GPC (16:1)	RP_POS	494.3241	1450	1-palmitoleoyl-GPC (16:1)
C000036	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	RP_POS	782.5694	2091	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)
C000037	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)	RP_POS	740.5225	2198	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)
C000038	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)	RP_POS	876.5597	2567	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)
C000039	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	RP_POS	806.5694	2023	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
C000040	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)	RP_POS	764.5225	2119	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)
C000041	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	RP_POS	758.5694	2160	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)
C000042	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	RP_POS	716.5225	2275	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
C000043	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	RP_POS	852.5597	2730	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)
C000044	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	RP_POS	760.5851	2358	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)
C000045	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	RP_POS	718.5381	2509	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
C000046	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)	RP_POS	854.5753	3140	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)
C000047	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)	RP_POS	732.5538	2160	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)
C000048	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	RP_POS	762.6007	2653	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)
C000049	1-palmitoyl-GPC (16:0)	RP_POS	496.3398	1525	1-palmitoyl-GPC (16:0)
C000050	1-palmitoyl-GPE (16:0)	RP_POS	454.2928	1544	1-palmitoyl-GPE (16:0)
C000051	1-palmitoylglycerol (16:0)	RP_POS	348.3108	1689	1-palmitoylglycerol (16:0)
C000052	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	RP_POS	810.6007	2300	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)
C000053	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	RP_POS	768.5538	2424	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
C000054	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	RP_POS	904.591	3000	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
C000055	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	RP_POS	834.6013	2197	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
C000056	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)	RP_POS	792.5538	2317	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)
C000057	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)	RP_POS	786.6007	2380	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)
C000058	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)	RP_POS	744.5538	2522	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)
