BIOCHEMICAL	KEGG	PUBCHEM	compound_id
(2,4 or 2,5)-dimethylphenol sulfate			C000001
(N(1) + N(8))-acetylspermidine			C000002
(R)-3-hydroxybutyrylcarnitine		53481617	C000003
(S)-3-hydroxybutyrylcarnitine			C000004
1,2,3-benzenetriol sulfate (2)			C000005
1,5-anhydroglucitol (1,5-AG)	C07326	64960	C000006
1,7-dimethylurate	C16356	91611	C000007
1-arachidonoyl-GPA (20:4)			C000008
1-carboxyethylisoleucine			C000009
1-carboxyethylleucine			C000010
1-carboxyethylphenylalanine			C000011
1-carboxyethyltyrosine			C000012
1-carboxyethylvaline			C000013
1-hydroxy-2-naphthalenecarboxylate	C03203	6844	C000014
1-linoleoyl-GPA (18:2)			C000015
1-linoleoyl-GPG (18:2)			C000016
1-methyl-4-imidazoleacetate	C05828	75810	C000017
1-methyl-5-imidazoleacetate		6451814	C000018
1-methylhistidine	C01152	92105	C000019
1-methylnicotinamide	C02918	10129985	C000020
1-methylurate	C16359	69726	C000021
1-oleoyl-GPA (18:1)		5497152	C000022
1-palmitoyl-GPA (16:0)	C04036	6419701	C000023
1-palmitoyl-GPG (16:0)		3300276	C000024
1-ribosyl-imidazoleacetate	C05131	5117448	C000025
1-stearoyl-GPG (18:0)			C000026
10-heptadecenoate (17:1n7)		5312435	C000027
10-undecenoate (11:1n1)	C13910	14891	C000028
12,13-DiHOME	C14829	10236635	C000029
12-HETE		5312983	C000030
12-HHTrE	C20388	5283141	C000031
13-HODE + 9-HODE		43013	C000032
14-HDoHE/17-HDoHE			C000033
16a-hydroxy DHEA 3-sulfate			C000034
1H-indole-7-acetic acid			C000035
2'-O-methylcytidine		150971	C000036
2'-O-methyluridine		102212	C000037
2'-deoxyuridine	C00526	13712	C000038
2,2'-Methylenebis(6-tert-butyl-p-cresol)		8398	C000039
2,3-dihydroxy-2-methylbutyrate		301941	C000040
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)			C000041
2,3-dihydroxyisovalerate	C04039	677	C000042
2,6-dihydroxybenzoic acid		9338	C000043
2-aminoadipate	C00956	469	C000044
2-aminobutyrate	C02261	439691	C000045
2-aminoheptanoate		227939	C000046
2-aminooctanoate		69522	C000047
2-aminophenol sulfate		181670	C000048
2-ethylphenylsulfate			C000049
2-hydroxy-3-methylvalerate		164623	C000050
2-hydroxyacetaminophen sulfate		86290013	C000051
2-hydroxyadipate	C02360	193530	C000052
2-hydroxybehenate		193484	C000053
2-hydroxybutyrate/2-hydroxyisobutyrate			C000054
2-hydroxydecanoate		21488	C000055
2-hydroxyfluorene sulfate			C000056
2-hydroxyglutarate	C02630	43	C000057
2-hydroxyheptanoate		2750949	C000058
2-hydroxyhippurate (salicylurate)	C07588	10253	C000059
2-hydroxynervonate		5312783	C000060
2-hydroxyoctanoate		94180	C000061
2-hydroxypalmitate		92836	C000062
2-hydroxyphenylacetate	C05852	11970	C000063
2-hydroxystearate	C03045	69417	C000064
2-isopropylmalate	C02504	77	C000065
2-keto-3-deoxy-gluconate	C00204	161227	C000066
2-methoxyacetaminophen glucuronide		14367271	C000067
2-methoxyacetaminophen sulfate		86290014	C000068
2-methoxyresorcinol sulfate			C000069
2-methylbutyrylcarnitine (C5)		6426901	C000070
2-methylcitrate/homocitrate			C000071
2-naphthol sulfate		74428	C000072
2-oxoarginine	C03771	558	C000073
2-piperidinone		12665	C000074
21-hydroxypregnenolone disulfate		134595	C000075
2S,3R-dihydroxybutyrate		10964471	C000076
3,4-dihydroxybutyrate			C000077
3-(3-amino-3-carboxypropyl)uridine		171198	C000078
3-(3-hydroxyphenyl)propionate	C11457	91	C000079
3-(4-hydroxyphenyl)lactate	C03672	9378	C000080
3-(N-acetyl-L-cystein-S-yl) acetaminophen		83967	C000081
3-(cystein-S-yl)acetaminophen		5233914	C000082
3-(methylthio)acetaminophen sulfate			C000083
3-acetylphenol sulfate			C000084
3-amino-2-piperidone		5200225	C000085
3-aminoisobutyrate	C05145	64956	C000086
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)		194501	C000087
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)		123979	C000088
3-formylindole	C08493	10256	C000089
3-hydroxy-2-ethylpropionate		188979	C000090
3-hydroxy-3-methylglutarate	C03761	1662	C000091
3-hydroxyadipate		151913	C000092
3-hydroxybutyrate (BHBA)	C01089	441	C000093
3-hydroxybutyroylglycine			C000094
3-hydroxydecanoate		26612	C000095
3-hydroxydodecanedioate		16663321	C000096
3-hydroxyhexanoate		151492	C000097
3-hydroxyhippurate		450268	C000098
3-hydroxyisobutyrate	C06001	87	C000099
3-hydroxylaurate		94216	C000100
3-hydroxyoctanoate		26613	C000101
3-hydroxyoleate			C000102
3-hydroxypyridine sulfate			C000103
3-hydroxysebacate		3017884	C000104
3-indoxyl sulfate		10258	C000105
3-methoxycatechol sulfate (1)			C000106
3-methoxytyramine sulfate			C000107
3-methoxytyrosine		1670	C000108
3-methyl catechol sulfate (1)			C000109
3-methyl-2-oxobutyrate	C00141	49	C000110
3-methyl-2-oxovalerate	C00671	47	C000111
3-methyladipate		12292	C000112
3-methylcytidine		159649	C000113
3-methylglutaconate		1551553	C000114
3-methylhistidine	C01152	64969	C000115
3-phenylpropionate (hydrocinnamate)	C05629	107	C000116
3-sulfo-L-alanine	C00506	72886	C000117
3-ureidopropionate	C02642	111	C000118
3b-hydroxy-5-cholenoic acid		92997	C000119
3beta,7alpha-dihydroxy-5-cholestenoate	C17335	3081084	C000120
3beta-hydroxy-5-cholestenoate	C17333	165511	C000121
4-acetamidobutanoate	C02946	18189	C000122
4-acetamidophenol	C06804	1983	C000123
4-acetamidophenylglucuronide		83944	C000124
4-acetaminophen sulfate	C06804	83939	C000125
4-acetylphenol sulfate		4684006	C000126
4-allylphenol sulfate			C000127
4-cholesten-3-one	C00599	91477	C000128
4-ethylphenylsulfate	C13637		C000129
4-guanidinobutanoate	C01035	500	C000130
4-hydroxycoumarin	C20414	54682930	C000131
4-hydroxyglutamate	C03079	439902	C000132
4-hydroxyhippurate		151012	C000133
4-hydroxyphenylacetate	C00642	127	C000134
4-hydroxyphenylacetylglutamine			C000135
4-hydroxyphenylpyruvate	C01179	979	C000136
4-imidazoleacetate	C02835	96215	C000137
4-methyl-2-oxopentanoate	C00233	70	C000138
4-methylcatechol sulfate			C000139
4-methylguaiacol sulfate			C000140
4-vinylguaiacol sulfate			C000141
4-vinylphenol sulfate	C05627	6426766	C000142
5,6-dihydrothymine	C00906	93556	C000143
5,6-dihydrouracil	C00429	649	C000144
