chemical_name	analysismode	mz	rt	compound_id
186.01477_2.317	HILIC_POS	186.01477	2.317	C000001
113.05902_2.792	HILIC_POS	113.05902	2.792	C000002
113.05893_2.889	HILIC_POS	113.05893	2.889	C000003
234.17283_0.884	HILIC_POS	234.17283	0.884	C000004
290.13748_1.512	HILIC_POS	290.13748	1.512	C000005
314.14086_2.666	HILIC_POS	314.14086	2.666	C000006
125.08409_1.181	HILIC_POS	125.08409	1.181	C000007
143.09463_1.221	HILIC_POS	143.09463	1.221	C000008
198.07517_1.901	HILIC_POS	198.07517	1.901	C000009
171.12567_3.507	HILIC_POS	171.12567	3.507	C000010
112.07483_4.353	HILIC_POS	112.07483	4.353	C000011
241.12311_1.711	HILIC_POS	241.12311	1.711	C000012
154.09908_3.495	HILIC_POS	154.09908	3.495	C000013
170.10542_1.18	HILIC_POS	170.10542	1.18	C000014
407.11775_1.541	HILIC_POS	407.11775	1.541	C000015
347.09369_2.953	HILIC_POS	347.09369	2.953	C000016
404.11114_1.476	HILIC_POS	404.11114	1.476	C000017
429.08429_1.98	HILIC_POS	429.08429	1.98	C000018
254.10529_1.028	HILIC_POS	254.10529	1.028	C000019
150.05408_1.582	HILIC_POS	150.05408	1.582	C000020
143.09451_3.844	HILIC_POS	143.09451	3.844	C000021
337.04463_1.182	HILIC_POS	337.04463	1.182	C000022
136.0523_1.248	HILIC_POS	136.0523	1.248	C000023
121.05297_1.196	HILIC_POS	121.05297	1.196	C000024
747.47683_2.502	HILIC_POS	747.47683	2.502	C000025
75.06846_4.426	HILIC_POS	75.06846	4.426	C000026
295.06228_0.806	HILIC_POS	295.06228	0.806	C000027
226.11786_2.782	HILIC_POS	226.11786	2.782	C000028
183.03837_1.92	HILIC_POS	183.03837	1.92	C000029
226.11769_2.885	HILIC_POS	226.11769	2.885	C000030
85.05277_1.199	HILIC_POS	85.05277	1.199	C000031
264.11079_2.968	HILIC_POS	264.11079	2.968	C000032
423.15284_0.906	HILIC_POS	423.15284	0.906	C000033
406.12646_0.888	HILIC_POS	406.12646	0.888	C000034
135.03195_1.681	HILIC_POS	135.03195	1.681	C000035
117.07898_3.789	HILIC_POS	117.07898	3.789	C000036
235.176_0.893	HILIC_POS	235.176	0.893	C000037
361.10967_1.329	HILIC_POS	361.10967	1.329	C000038
152.05847_1.669	HILIC_POS	152.05847	1.669	C000039
