compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD00017	1,2,3-benzenetriol sulfate (1)	NA	NA
CPD00018	1,2,3-benzenetriol sulfate (2)	NA	NA
CPD00019	1,2-dilinoleoyl-GPC (18:2/18:2)	NA	5288075
CPD00020	1,2-dilinoleoyl-GPE (18:2/18:2)*	NA	9546812
CPD00021	1,2-dipalmitoyl-GPC (16:0/16:0)	NA	452110
CPD00022	1,2-dipalmitoyl-GPE (16:0/16:0)*	NA	11802774;445468
CPD00023	1,3,7-trimethylurate	C16361	79437
CPD00024	1,3-dimethylurate	NA	70346
CPD00025	1,5-anhydroglucitol (1,5-AG)	C07326	64960
CPD00026	1,7-dimethylurate	C16356	91611
CPD00001	1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*	NA	NA
CPD00002	1-(1-enyl-oleoyl)-GPE (P-18:1)*	NA	NA
CPD00003	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	NA	NA
CPD00004	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	NA	NA
CPD00005	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	NA	NA
CPD00006	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	NA	NA
CPD00007	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	NA	NA
CPD00008	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	NA	NA
CPD00009	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	NA	NA
CPD00010	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	NA	11146967
CPD00011	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	NA	10917802
CPD00012	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	NA	NA
CPD00013	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	NA	9547058
CPD00014	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	NA	NA
CPD00015	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	NA	NA
CPD00016	1-(1-enyl-stearoyl)-GPE (P-18:0)*	NA	NA
CPD00041	1-arachidonoyl-GPC (20:4n6)*	C05208	NA
CPD00042	1-arachidonoyl-GPE (20:4n6)*	NA	42607465
CPD00043	1-arachidonoyl-GPI (20:4)*	NA	NA
CPD00044	1-arachidonylglycerol (20:4)	C13857	5282281
CPD00045	1-lignoceroyl-GPC (24:0)	NA	NA
CPD00046	1-linolenoyl-GPC (18:3)*	NA	NA
CPD00047	1-linolenoyl-GPE (18:3)*	NA	NA
CPD00048	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	NA	NA
CPD00049	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	NA	NA
CPD00051	1-linoleoyl-GPA (18:2)*	NA	NA
CPD00052	1-linoleoyl-GPC (18:2)	C04100	11988421
CPD00053	1-linoleoyl-GPE (18:2)*	NA	52925130
CPD00054	1-linoleoyl-GPG (18:2)*	NA	NA
CPD00055	1-linoleoyl-GPI (18:2)*	NA	NA
CPD00050	1-linoleoylglycerol (18:2)	NA	5283469
CPD00057	1-methylhistidine	C01152	92105
CPD00058	1-methylimidazoleacetate	C05828	75810
CPD00059	1-methylnicotinamide	C02918	10129985
CPD00060	1-methylurate	C16359	69726
CPD00061	1-methylxanthine	C16358	80220
CPD00062	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	NA	NA
CPD00064	1-oleoyl-GPC (18:1)	NA	16081932
CPD00065	1-oleoyl-GPE (18:1)	NA	9547071
CPD00066	1-oleoyl-GPG (18:1)*	NA	NA
CPD00067	1-oleoyl-GPI (18:1)*	NA	NA
CPD00063	1-oleoylglycerol (18:1)	NA	5283468
CPD00069	1-palmitoleoyl-GPC (16:1)*	NA	24779461
CPD00068	1-palmitoleoylglycerol (16:1)*	NA	NA
CPD00070	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	NA	10747814
CPD00071	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	NA	9546800
CPD00072	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	NA	NA
CPD00073	1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*	NA	NA
CPD00074	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	NA	5287971
CPD00075	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	NA	9546747
CPD00076	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	NA	NA
CPD00077	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	NA	6436017
CPD00078	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	NA	5283496
CPD00079	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	NA	NA
CPD00080	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	NA	NA
CPD00081	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	NA	NA
CPD00083	1-palmitoyl-GPC (16:0)	NA	86554
CPD00084	1-palmitoyl-GPE (16:0)	NA	9547069
CPD00085	1-palmitoyl-GPG (16:0)*	NA	3300276
CPD00086	1-palmitoyl-GPI (16:0)	NA	NA
CPD00082	1-palmitoylglycerol (16:0)	NA	14900
CPD00087	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	NA	16219824
CPD00088	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	NA	5289133
CPD00089	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	NA	NA
CPD00090	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	NA	NA
CPD00091	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	NA	NA
CPD00092	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	NA	9546749
CPD00093	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	NA	NA
CPD00094	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	NA	NA
CPD00095	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	NA	NA
CPD00096	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	NA	NA
CPD00097	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	NA	9547087
CPD00098	1-stearoyl-GPC (18:0)	NA	497299
CPD00099	1-stearoyl-GPE (18:0)	NA	9547068
CPD00100	1-stearoyl-GPI (18:0)	NA	NA
CPD00101	1-stearoyl-GPS (18:0)*	NA	9547101
CPD00027	10-heptadecenoate (17:1n7)	NA	5312435
CPD00028	10-nonadecenoate (19:1n9)	NA	5312513
CPD00029	10-undecenoate (11:1n1)	NA	NA
CPD00030	11-ketoetiocholanolone glucuronide	NA	NA
CPD00031	12,13-DiHOME	C14829	10236635
CPD00032	12-HETE	NA	5312983
CPD00033	13-HODE + 9-HODE	NA	43013
CPD00034	13-methylmyristate	NA	151014
CPD00035	14-HDoHE/17-HDoHE	NA	NA
CPD00543	15-methylpalmitate	NA	17903417
CPD00037	16-hydroxypalmitate	C18218	10466
CPD00036	16a-hydroxy DHEA 3-sulfate	NA	NA
CPD00040	17-methylstearate	NA	3083779
CPD00038	17alpha-hydroxypregnanolone glucuronide	NA	NA
CPD00039	17alpha-hydroxypregnenolone 3-sulfate	NA	152971
CPD00133	2'-O-methylcytidine	NA	150971
CPD00111	2'-deoxyuridine	C00526	13712
CPD00102	2,3-dihydroxyisovalerate	C04039	677
CPD00105	2-acetamidophenol sulfate	NA	181671
CPD00106	2-aminobutyrate	C02261	439691
CPD00107	2-aminoheptanoate	NA	227939
CPD00108	2-aminooctanoate	NA	69522
CPD00109	2-aminophenol sulfate	NA	181670
CPD00110	2-arachidonoylglycerol (20:4)	C13856	5282280
CPD00112	2-hydroxy-3-methylvalerate	NA	164623
CPD00113	2-hydroxyacetaminophen sulfate*	NA	NA
CPD00114	2-hydroxybutyrate/2-hydroxyisobutyrate	NA	NA
CPD00115	2-hydroxydecanoate	NA	21488
CPD00116	2-hydroxyglutarate	C02630	43
CPD00117	2-hydroxyhippurate (salicylurate)	C07588	10253
CPD00118	2-hydroxyibuprofen	NA	NA
CPD00119	2-hydroxylaurate	NA	97783
CPD00120	2-hydroxyoctanoate	NA	94180
CPD00121	2-hydroxypalmitate	NA	92836
CPD00122	2-hydroxyphenylacetate	C05852	11970
CPD00123	2-hydroxystearate	C03045	69417
CPD00124	2-keto-3-deoxy-gluconate	NA	161227
CPD00125	2-linoleoylglycerol (18:2)	NA	5365676
CPD00126	2-methoxyacetaminophen glucuronide*	NA	NA
CPD00127	2-methoxyacetaminophen sulfate*	NA	NA
CPD00128	2-methylbutyrylcarnitine (C5)	NA	6426901
CPD00129	2-methylbutyrylglycine	NA	193872
CPD00130	2-methylcitrate/homocitrate	NA	NA
CPD00131	2-methylmalonylcarnitine (C4-DC)	NA	53481628
