BIOCHEMICAL	MZ	RT	METHOD
Glycine	76.0401	7.81	HILIC_POS
Alanine	90.0556	7.7	HILIC_POS
Serine	106.0504	7.57	HILIC_POS
Threonine	120.0659	7.54	HILIC_POS
Methionine	150.0584	6.97	HILIC_POS
Glutamic acid	148.0605	7.52	HILIC_POS
Asparagine	133.0609	7.87	HILIC_POS
Glutamine	147.0765	7.94	HILIC_POS
Histidine	156.0768	9.48	HILIC_POS
Arginine	175.1191	9.14	HILIC_POS
Lysine	147.1129	9.36	HILIC_POS
Valine	118.0863	7.27	HILIC_POS
Leucine	132.1019	6.89	HILIC_POS
Isoleucine	132.1019	7.02	HILIC_POS
Phenylalanine	166.0863	6.65	HILIC_POS
Tyrosine	182.0812	6.73	HILIC_POS
Tryptophan	205.0972	6.44	HILIC_POS
Proline	116.071	7.99	HILIC_POS
Hydroxyproline	132.0657	7.79	HILIC_POS
Ornithine	133.0972	9.31	HILIC_POS
Citrulline	176.1031	8.27	HILIC_POS
Taurine	126.0222	5.92	HILIC_POS
Serotonin	177.1027	6.2	HILIC_POS
3-Amino-isobutanoic acid	104.0706	7.67	HILIC_POS
gamma-Aminobutyric acid	104.0711	7.54	HILIC_POS
N-Acetylglycine	118.0503	4.4	HILIC_POS
Dimethylglycine	104.0711	8.42	HILIC_POS
Dimethylarginine	203.1503	9.73	HILIC_POS
Symmetric dimethyl-arginine	203.1503	9.65	HILIC_POS
Targinine	189.1347	9.35	HILIC_POS
Allantoin	159.0513	3.4	HILIC_POS
Kynurenic acid	190.05	5.15	HILIC_POS
Histamine	112.0874	9.18	HILIC_POS
1-Methylhistamine	126.1026	10.55	HILIC_POS
3-Hydroxyanthranilic acid	154.0497	1.72	HILIC_POS
Ureidopropionic acid	133.0612	3.99	HILIC_POS
Niacinamide	123.0556	3.61	HILIC_POS
Betaine	118.0866	8.85	HILIC_POS
Choline	104.1075	8.17	HILIC_POS
Choline phosphate	184.0733	12.55	HILIC_POS
sn-Glycero-3-phosphocholine	258.1103	10.43	HILIC_POS
Creatine	132.077	8.22	HILIC_POS
Creatinine	114.0666	6.35	HILIC_POS
Thyroxine	777.6941	5.62	HILIC_POS
Trimethylamine N-oxide	76.0765	8.03	HILIC_POS
Adenosine	268.1041	4.86	HILIC_POS
Cytosine	112.0512	6.04	HILIC_POS
Xanthosine	285.083	4.2	HILIC_POS
